img_id,all_correct_1,n_correct_1,n_atoms_1,ge2_gm,ge2_am,all_correct_2,n_correct_2,n_atoms_2,all_correct_3,n_correct_3,n_atoms_3
197,1,7,7,0.9994871009374864,0.9994876958627291,1,7,7,1,7,7
198,0,4,5,0.02523434116976565,0.5814161995141486,0,4,5,0,4,5
199,1,5,5,0.447191004932608,0.8024591174112802,1,5,5,1,5,5
200,0,3,5,0.26475346848719905,0.7349156599962503,0,4,5,0,3,5
201,0,5,6,0.00996619360095828,0.8299767200426483,0,5,6,0,5,6
202,0,3,6,0.029501021293323274,0.4247325116148531,0,3,6,0,3,6
203,0,5,7,0.02309341613732366,0.6824247507500065,0,5,7,0,5,7
204,0,3,5,0.00023610592394349172,0.599975301104694,0,3,5,0,3,5
205,0,2,6,0.00011391820623463591,0.43707903451492786,0,2,6,0,2,6
206,0,3,5,0.009603460866647772,0.5994676645512795,0,3,5,0,3,5
207,1,7,7,0.993050038072468,0.9931915935993463,1,7,7,1,7,7
208,1,6,6,0.0925491801701826,0.8283923356971975,1,6,6,1,6,6
209,1,7,7,0.9998462040108796,0.9998462226109165,1,7,7,1,7,7
210,0,3,6,0.001297837588203917,0.6666484769544404,0,3,6,0,3,6
211,0,5,6,0.1773987702339771,0.8331893739354475,0,5,6,0,5,6
212,0,6,8,0.015320557400115424,0.6430561031224077,0,7,8,0,6,8
213,0,5,6,0.02888510031395359,0.6644229458586154,0,5,6,0,5,6
214,0,5,6,0.28052210733347843,0.8333556987487446,0,5,6,0,5,6
215,0,6,7,0.14526430634231946,0.8565159599479538,0,6,7,0,6,7
216,0,5,6,0.20425302747931554,0.828421773879776,0,5,6,0,5,6
217,0,3,6,0.00969106111808925,0.6208584075576442,0,4,6,0,4,6
218,0,6,7,0.17066231822518133,0.8569329642012775,0,6,7,0,6,7
219,0,5,6,0.9585838633102854,0.9623845288758924,0,5,6,0,5,6
220,0,6,7,0.019305678334029002,0.8570755832971527,0,6,7,0,6,7
221,0,5,6,0.0013254282096360388,0.6666525078989435,0,5,6,0,5,6
222,0,6,7,0.152278168783463,0.8502635819990301,0,6,7,0,6,7
223,0,5,6,0.1598721994629796,0.8332928896172166,0,5,6,0,5,6
224,0,7,8,0.029697796172040603,0.8242935955290651,0,7,8,0,7,8
225,0,4,7,0.0006261057627888186,0.5713047920866157,0,4,7,0,4,7
226,0,3,6,0.071626229614368,0.47032201856566974,0,3,6,0,3,6
227,0,4,6,0.14201387122026898,0.6550716552456847,0,4,6,0,4,6
228,0,5,6,0.009998110379474616,0.8331444347219104,0,5,6,0,5,6
229,0,4,6,0.014232323380264561,0.5007262602728707,0,4,6,0,4,6
230,0,5,8,0.025362115307599832,0.6904327166568659,0,5,8,0,7,8
231,1,7,7,0.999981551342412,0.9999815516265919,1,7,7,1,7,7
232,0,2,6,0.0003380800849317862,0.49835979853207585,0,2,6,0,2,6
233,1,7,7,0.9999503190731553,0.9999503215770714,1,7,7,1,7,7
234,1,6,6,0.838406005335759,0.8891822675898055,1,6,6,1,6,6
235,1,7,7,0.9996987878759381,0.9996989809358852,1,7,7,1,7,7
236,0,6,7,0.10260904124291989,0.8029222552725362,0,6,7,0,6,7
237,0,5,6,0.009999379093601452,0.8332712475682773,0,5,6,0,5,6
238,0,3,5,0.00197646873004806,0.59856789866098,0,3,5,0,3,5
239,0,5,6,0.009997124570021516,0.8330459398074527,0,5,6,0,5,6
240,0,3,5,0.017316391511857158,0.4051009771201393,0,3,5,0,3,5
