source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_VAR_noref_1,928,0.67,0.48,0.35,0.55,2.3,0.76,0.81,0.27,1.27,0.42
Sys_VAR_noref_1,931,0.7,0.6,0.39,0.59,0.63,0.86,0.25,0.34,0.38,0.51
Sys_VAR_noref_1,943,0.88,0.78,0.69,0.82,0.88,0.9,0.61,0.63,0.72,0.74
Sys_VAR_noref_1,952,0.79,0.88,0.68,0.74,0.72,0.73,0.49,0.5,0.53,0.54
Sys_VAR_noref_1,960,0.95,0.7,0.67,0.8,2.64,0.74,1.76,0.49,2.11,0.59
Sys_VAR_noref_1,962,0.81,0.73,0.62,0.76,0.56,0.75,0.35,0.46,0.43,0.57
Sys_VAR_noref_1,968,0.92,0.64,0.6,0.73,2.03,0.92,1.22,0.55,1.48,0.67
Sys_VAR_noref_1,971,0.88,0.6,0.54,0.7,0.3,0.66,0.16,0.36,0.21,0.46
Sys_VAR_noref_1,972,0.92,0.59,0.55,0.69,1.93,0.79,1.06,0.44,1.34,0.55
Sys_VAR_noref_1,981,0.75,0.42,0.32,0.53,0.53,0.79,0.17,0.25,0.28,0.42
Sys_VAR_noref_1,982,0.44,0.43,0.22,0.42,0.93,0.72,0.21,0.16,0.39,0.3
Sys_VAR_noref_1,983,0.81,0.56,0.48,0.66,0.32,0.61,0.15,0.29,0.21,0.4
Sys_VAR_noref_1,985,0.65,0.85,0.55,0.65,1.92,0.83,1.05,0.46,1.25,0.54
Sys_VAR_noref_1,991,0.93,0.94,0.88,0.93,0.43,0.68,0.38,0.59,0.41,0.63
Sys_VAR_noref_1,999,0.73,0.46,0.43,0.56,1.29,1.0,0.55,0.43,0.73,0.56
Sys_VAR_noref_2,4,0.92,0.74,0.68,0.82,1.15,1.02,0.79,0.7,0.94,0.84
Sys_VAR_noref_2,7,0.85,0.69,0.59,0.76,0.59,0.86,0.35,0.51,0.45,0.66
Sys_VAR_noref_2,10,0.77,0.56,0.48,0.64,0.89,0.96,0.42,0.46,0.57,0.61
Sys_VAR_noref_2,25,0.87,0.77,0.68,0.81,1.25,0.94,0.85,0.64,1.01,0.76
Sys_VAR_noref_2,35,0.71,0.67,0.5,0.67,0.96,0.79,0.47,0.39,0.64,0.53
Sys_VAR_noref_2,39,0.93,0.94,0.88,0.93,0.74,0.86,0.65,0.75,0.69,0.8
Sys_VAR_noref_2,49,0.62,0.57,0.34,0.55,0.98,0.97,0.33,0.33,0.54,0.54
Sys_VAR_noref_2,51,0.9,0.89,0.81,0.89,0.73,0.79,0.59,0.64,0.65,0.71
Sys_VAR_noref_2,52,0.87,0.85,0.76,0.85,2.17,0.92,1.65,0.7,1.85,0.78
Sys_VAR_noref_2,64,0.52,0.69,0.35,0.54,1.2,0.96,0.42,0.34,0.65,0.52
Sys_VAR_noref_2,80,0.76,0.56,0.44,0.64,0.66,1.07,0.29,0.47,0.42,0.68
Sys_VAR_noref_2,97,0.74,0.84,0.66,0.77,1.46,0.87,0.96,0.57,1.13,0.67
Sys_VAR_noref_2,106,0.96,0.79,0.76,0.86,2.87,0.87,2.19,0.67,2.48,0.75
Sys_VAR_noref_2,116,0.97,0.91,0.88,0.94,0.39,0.65,0.34,0.57,0.36,0.6
Sys_VAR_noref_2,118,0.67,0.59,0.43,0.62,1.37,1.0,0.59,0.43,0.85,0.62
Sys_VAR_noref_2,129,0.7,0.47,0.33,0.56,0.73,1.12,0.24,0.37,0.41,0.63
Sys_VAR_noref_2,144,0.78,0.63,0.52,0.69,0.93,0.83,0.48,0.43,0.64,0.57
Sys_VAR_noref_2,147,0.88,0.78,0.69,0.82,0.77,0.69,0.54,0.48,0.64,0.57
Sys_VAR_noref_2,150,0.84,0.66,0.56,0.74,1.31,0.89,0.73,0.5,0.97,0.66
Sys_VAR_noref_2,156,0.92,0.73,0.68,0.81,0.55,0.94,0.37,0.63,0.45,0.76
Sys_VAR_noref_2,159,0.74,0.5,0.4,0.58,0.94,0.86,0.38,0.35,0.55,0.5
Sys_VAR_noref_2,281,0.92,0.63,0.59,0.72,1.78,1.02,1.04,0.6,1.28,0.73
Sys_VAR_noref_2,300,0.88,0.77,0.72,0.81,0.58,0.99,0.42,0.71,0.47,0.8
Sys_VAR_noref_2,322,0.96,0.88,0.85,0.92,0.9,1.0,0.76,0.85,0.82,0.92
Sys_VAR_noref_2,330,0.85,0.73,0.64,0.77,0.36,0.97,0.23,0.62,0.28,0.75
Sys_VAR_noref_2,333,0.74,0.46,0.35,0.56,0.82,0.75,0.29,0.26,0.46,0.42
Sys_VAR_noref_2,339,0.77,0.58,0.52,0.65,1.65,0.96,0.85,0.5,1.07,0.63
Sys_VAR_noref_2,347,0.81,0.81,0.67,0.79,0.5,0.81,0.34,0.54,0.4,0.65
Sys_VAR_noref_2,356,0.89,0.68,0.61,0.76,1.45,0.95,0.89,0.58,1.1,0.72
Sys_VAR_noref_2,365,0.88,0.77,0.69,0.82,0.86,0.81,0.59,0.56,0.7,0.66
Sys_VAR_noref_2,370,0.85,0.64,0.57,0.72,0.72,0.79,0.41,0.45,0.52,0.57
Sys_VAR_noref_2,389,0.29,0.44,0.12,0.33,2.04,0.83,0.25,0.1,0.67,0.27
