source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_DiT_noexpert_3,920,0.74,0.62,0.47,0.66,0.66,0.83,0.31,0.39,0.44,0.55
Sys_DiT_noexpert_3,922,0.52,0.32,0.18,0.39,0.44,0.73,0.08,0.13,0.17,0.28
Sys_DiT_noexpert_3,928,0.95,0.9,0.85,0.92,2.49,0.83,2.13,0.71,2.29,0.76
Sys_DiT_noexpert_3,931,0.91,0.84,0.79,0.86,0.71,0.96,0.56,0.76,0.61,0.83
Sys_DiT_noexpert_3,943,0.96,0.88,0.85,0.91,1.19,1.23,1.01,1.04,1.09,1.12
Sys_DiT_noexpert_3,952,1.0,0.97,0.97,0.99,0.86,0.87,0.84,0.85,0.85,0.86
Sys_DiT_noexpert_3,960,0.97,0.84,0.82,0.89,2.78,0.78,2.28,0.64,2.49,0.7
Sys_DiT_noexpert_3,962,0.97,0.97,0.94,0.97,0.68,0.91,0.64,0.86,0.66,0.88
Sys_DiT_noexpert_3,968,0.71,0.73,0.6,0.71,1.67,0.75,0.99,0.45,1.19,0.54
Sys_DiT_noexpert_3,971,0.72,0.7,0.54,0.7,0.48,1.06,0.26,0.58,0.34,0.75
Sys_DiT_noexpert_3,972,0.68,0.74,0.58,0.7,1.74,0.72,1.01,0.41,1.22,0.5
Sys_DiT_noexpert_3,981,0.75,0.58,0.43,0.64,0.59,0.87,0.25,0.37,0.38,0.56
Sys_DiT_noexpert_3,982,0.59,0.52,0.32,0.55,0.93,0.71,0.29,0.23,0.51,0.39
Sys_DiT_noexpert_3,983,0.93,0.83,0.78,0.87,0.24,0.44,0.18,0.34,0.21,0.39
Sys_DiT_noexpert_3,985,0.76,0.94,0.73,0.81,1.72,0.75,1.26,0.55,1.4,0.6
Sys_DiT_noexpert_3,991,0.91,0.97,0.89,0.94,0.4,0.62,0.35,0.55,0.37,0.58
Sys_DiT_noexpert_3,999,0.87,0.75,0.66,0.8,1.3,1.01,0.86,0.67,1.04,0.81
User_DiT_1,4,1.0,0.8,0.8,0.88,0.87,0.78,0.7,0.62,0.77,0.69
User_DiT_1,7,0.92,0.68,0.62,0.76,0.49,0.71,0.3,0.44,0.37,0.54
User_DiT_1,10,0.66,0.8,0.55,0.69,0.83,0.9,0.46,0.5,0.57,0.62
User_DiT_1,25,0.93,0.76,0.73,0.83,1.11,0.83,0.81,0.61,0.92,0.69
User_DiT_1,35,0.92,0.76,0.7,0.83,1.0,0.83,0.7,0.58,0.83,0.69
User_DiT_1,39,0.95,0.76,0.73,0.84,0.77,0.89,0.56,0.65,0.64,0.75
User_DiT_1,49,1.0,0.84,0.84,0.91,1.17,1.16,0.98,0.98,1.06,1.05
User_DiT_1,51,0.8,0.8,0.76,0.78,0.83,0.91,0.63,0.69,0.65,0.71
User_DiT_1,52,0.86,0.76,0.7,0.79,2.47,1.04,1.73,0.73,1.96,0.83
User_DiT_1,64,0.72,0.72,0.52,0.71,1.14,0.91,0.59,0.47,0.81,0.65
User_DiT_1,80,0.82,0.52,0.52,0.62,0.29,0.47,0.15,0.24,0.18,0.29
User_DiT_1,97,1.0,0.88,0.88,0.93,1.41,0.84,1.24,0.74,1.31,0.78
User_DiT_1,106,0.97,0.68,0.65,0.79,2.51,0.76,1.64,0.5,1.98,0.6
User_DiT_1,116,1.0,0.88,0.88,0.93,0.43,0.71,0.37,0.63,0.4,0.66
User_DiT_1,118,0.72,0.64,0.48,0.66,1.12,0.82,0.54,0.39,0.74,0.54
User_DiT_1,129,0.77,0.64,0.5,0.69,0.68,1.04,0.34,0.52,0.47,0.72
User_DiT_1,144,0.93,0.6,0.56,0.72,1.13,1.01,0.63,0.56,0.82,0.73
User_DiT_1,147,1.0,0.8,0.8,0.88,0.83,0.75,0.66,0.6,0.73,0.66
User_DiT_1,150,0.88,0.76,0.66,0.8,1.51,1.03,1.0,0.68,1.21,0.82
User_DiT_1,156,1.0,0.64,0.64,0.77,0.47,0.8,0.3,0.51,0.36,0.62
User_DiT_1,159,0.49,0.4,0.24,0.4,1.13,1.04,0.27,0.25,0.45,0.42
User_DiT_1,281,1.0,0.44,0.44,0.61,1.83,1.05,0.8,0.46,1.11,0.64
User_DiT_1,300,0.93,0.92,0.86,0.92,0.47,0.8,0.4,0.69,0.44,0.74
User_DiT_1,322,0.94,0.8,0.77,0.86,0.62,0.69,0.47,0.53,0.53,0.59
User_DiT_1,330,0.91,0.8,0.74,0.84,0.35,0.95,0.26,0.7,0.3,0.8
User_DiT_1,333,1.0,0.52,0.52,0.67,0.9,0.82,0.47,0.43,0.61,0.55
User_DiT_1,339,0.88,0.84,0.74,0.84,1.31,0.76,0.96,0.56,1.09,0.64
User_DiT_1,347,1.0,0.8,0.8,0.87,0.45,0.72,0.36,0.58,0.39,0.63
User_DiT_1,356,0.91,0.48,0.44,0.62,2.05,1.34,0.9,0.59,1.28,0.83
User_DiT_1,365,0.85,0.76,0.64,0.78,0.72,0.68,0.46,0.43,0.56,0.53
User_DiT_1,370,0.97,0.64,0.63,0.75,0.76,0.84,0.48,0.53,0.57,0.63
User_DiT_1,389,0.4,0.44,0.17,0.39,1.52,0.62,0.26,0.11,0.59,0.24
User_DiT_1,392,0.91,0.76,0.7,0.82,0.23,0.57,0.16,0.4,0.19,0.47
User_DiT_1,394,0.95,0.56,0.55,0.68,2.01,0.95,1.11,0.52,1.38,0.65
User_DiT_1,396,0.97,0.8,0.78,0.88,0.16,0.65,0.12,0.51,0.14,0.57
User_DiT_1,400,0.98,0.4,0.39,0.54,0.21,0.65,0.08,0.26,0.11,0.35
User_DiT_1,405,0.67,0.52,0.34,0.49,0.39,0.7,0.13,0.24,0.19,0.34
User_DiT_1,406,0.93,0.72,0.65,0.79,1.11,0.66,0.73,0.43,0.87,0.52
User_DiT_1,413,0.57,0.52,0.31,0.47,0.47,1.06,0.15,0.33,0.22,0.5
