group,alignment_threshold,authenticity_threshold,probability
Sys_DiT_noexpert,0.04,1.0,0.18799999999999994
Sys_DiT_noexpert,0.06,0.0,0.9879999999999999
Sys_DiT_noexpert,0.06,0.02,0.9879999999999999
Sys_DiT_noexpert,0.06,0.04,0.9879999999999999
Sys_DiT_noexpert,0.06,0.06,0.9879999999999999
Sys_DiT_noexpert,0.06,0.08,0.9879999999999999
Sys_DiT_noexpert,0.06,0.1,0.9859999999999998
Sys_DiT_noexpert,0.06,0.12,0.9859999999999998
Sys_DiT_noexpert,0.06,0.14,0.9859999999999998
Sys_DiT_noexpert,0.06,0.16,0.9839999999999998
Sys_DiT_noexpert,0.06,0.18,0.9819999999999998
Sys_DiT_noexpert,0.06,0.2,0.9819999999999998
Sys_DiT_noexpert,0.06,0.22,0.9799999999999998
Sys_DiT_noexpert,0.06,0.24,0.9799999999999998
Sys_DiT_noexpert,0.06,0.26,0.9699999999999999
Sys_DiT_noexpert,0.06,0.28,0.9559999999999996
Sys_DiT_noexpert,0.06,0.3,0.9479999999999995
Sys_DiT_noexpert,0.06,0.32,0.9439999999999996
Sys_DiT_noexpert,0.06,0.34,0.9279999999999997
Sys_DiT_noexpert,0.06,0.36,0.9219999999999996
Sys_DiT_noexpert,0.06,0.38,0.9059999999999994
Sys_DiT_noexpert,0.06,0.4,0.8959999999999995
Sys_DiT_noexpert,0.06,0.42,0.8839999999999995
Sys_DiT_noexpert,0.06,0.44,0.8599999999999995
Sys_DiT_noexpert,0.06,0.46,0.8539999999999995
Sys_DiT_noexpert,0.06,0.48,0.8379999999999996
Sys_DiT_noexpert,0.06,0.5,0.8319999999999996
Sys_DiT_noexpert,0.06,0.52,0.8139999999999995
Sys_DiT_noexpert,0.06,0.54,0.7959999999999995
Sys_DiT_noexpert,0.06,0.56,0.7879999999999996
Sys_DiT_noexpert,0.06,0.58,0.7719999999999996
Sys_DiT_noexpert,0.06,0.6,0.7619999999999995
Sys_DiT_noexpert,0.06,0.62,0.7459999999999997
Sys_DiT_noexpert,0.06,0.64,0.7279999999999996
Sys_DiT_noexpert,0.06,0.66,0.7139999999999997
Sys_DiT_noexpert,0.06,0.68,0.7019999999999998
Sys_DiT_noexpert,0.06,0.7,0.6879999999999998
Sys_DiT_noexpert,0.06,0.72,0.6540000000000002
Sys_DiT_noexpert,0.06,0.74,0.6220000000000002
Sys_DiT_noexpert,0.06,0.76,0.5960000000000001
Sys_DiT_noexpert,0.06,0.78,0.5100000000000002
Sys_DiT_noexpert,0.06,0.8,0.4700000000000001
Sys_DiT_noexpert,0.06,0.82,0.43
Sys_DiT_noexpert,0.06,0.84,0.3919999999999999
Sys_DiT_noexpert,0.06,0.86,0.35600000000000004
Sys_DiT_noexpert,0.06,0.88,0.3339999999999999
Sys_DiT_noexpert,0.06,0.9,0.3099999999999999
Sys_DiT_noexpert,0.06,0.92,0.2759999999999999
Sys_DiT_noexpert,0.06,0.94,0.242
Sys_DiT_noexpert,0.06,0.96,0.22599999999999995
Sys_DiT_noexpert,0.06,0.98,0.19799999999999993
Sys_DiT_noexpert,0.06,1.0,0.18799999999999994
Sys_DiT_noexpert,0.08,0.0,0.9819999999999999
Sys_DiT_noexpert,0.08,0.02,0.9819999999999999
Sys_DiT_noexpert,0.08,0.04,0.9819999999999999
Sys_DiT_noexpert,0.08,0.06,0.9819999999999999
Sys_DiT_noexpert,0.08,0.08,0.9819999999999999
Sys_DiT_noexpert,0.08,0.1,0.9819999999999999
Sys_DiT_noexpert,0.08,0.12,0.9819999999999999
Sys_DiT_noexpert,0.08,0.14,0.9819999999999999
Sys_DiT_noexpert,0.08,0.16,0.9799999999999999
Sys_DiT_noexpert,0.08,0.18,0.9779999999999999
Sys_DiT_noexpert,0.08,0.2,0.9779999999999999
Sys_DiT_noexpert,0.08,0.22,0.9759999999999998
Sys_DiT_noexpert,0.08,0.24,0.9759999999999998
Sys_DiT_noexpert,0.08,0.26,0.9679999999999999
Sys_DiT_noexpert,0.08,0.28,0.9539999999999996
Sys_DiT_noexpert,0.08,0.3,0.9459999999999995
Sys_DiT_noexpert,0.08,0.32,0.9419999999999996
Sys_DiT_noexpert,0.08,0.34,0.9279999999999997
Sys_DiT_noexpert,0.08,0.36,0.9219999999999996
Sys_DiT_noexpert,0.08,0.38,0.9059999999999994
Sys_DiT_noexpert,0.08,0.4,0.8959999999999995
Sys_DiT_noexpert,0.08,0.42,0.8839999999999995
Sys_DiT_noexpert,0.08,0.44,0.8599999999999995
Sys_DiT_noexpert,0.08,0.46,0.8539999999999995
Sys_DiT_noexpert,0.08,0.48,0.8379999999999996
Sys_DiT_noexpert,0.08,0.5,0.8319999999999996
Sys_DiT_noexpert,0.08,0.52,0.8139999999999995
Sys_DiT_noexpert,0.08,0.54,0.7959999999999995
Sys_DiT_noexpert,0.08,0.56,0.7879999999999996
Sys_DiT_noexpert,0.08,0.58,0.7719999999999996
Sys_DiT_noexpert,0.08,0.6,0.7619999999999995
Sys_DiT_noexpert,0.08,0.62,0.7459999999999997
Sys_DiT_noexpert,0.08,0.64,0.7279999999999996
Sys_DiT_noexpert,0.08,0.66,0.7139999999999997
Sys_DiT_noexpert,0.08,0.68,0.7019999999999998
Sys_DiT_noexpert,0.08,0.7,0.6879999999999998
Sys_DiT_noexpert,0.08,0.72,0.6540000000000002
Sys_DiT_noexpert,0.08,0.74,0.6220000000000002
Sys_DiT_noexpert,0.08,0.76,0.5960000000000001
