img_id,all_correct_1,n_correct_1,n_atoms_1,ge2_gm,ge2_am,all_correct_2,n_correct_2,n_atoms_2,all_correct_3,n_correct_3,n_atoms_3
414,0,5,8,0.0012319242298733442,0.6250004674019747,0,5,8,0,5,8
415,0,6,7,0.360929626701232,0.8568005910453687,0,6,7,0,6,7
416,0,5,9,0.00741516512122012,0.6546427665838819,0,5,9,0,5,9
417,0,3,7,0.002937930556044363,0.5000107445397501,0,3,7,0,3,7
418,0,6,9,0.02792957491874752,0.6566414623529628,0,6,9,0,6,9
419,0,6,8,0.031816436993065,0.6797471699871855,0,6,8,0,6,8
420,0,5,8,0.005338029240907605,0.6250420331229166,0,5,8,0,5,8
421,0,4,7,0.06042284076769584,0.7149273265052244,0,4,7,0,4,7
422,0,4,7,0.011472448522103856,0.7139859246252982,0,4,7,0,4,7
423,0,7,9,0.07560456097815293,0.7777915742272343,0,7,9,0,7,9
424,0,4,8,0.0005634203798549389,0.5273804104640823,0,4,8,0,4,8
425,0,3,8,0.0036610613612523815,0.5000191627089561,0,3,8,0,3,8
426,0,4,7,0.004010573957134257,0.585591038478079,0,4,7,0,4,7
427,0,6,7,0.034764502138009294,0.7114923657426138,0,6,7,0,5,7
428,0,7,9,0.07529857705126318,0.7786523181268418,0,7,9,0,7,9
429,0,6,8,0.028487162917607847,0.6309914084674231,0,6,8,0,6,8
430,0,6,8,0.006566260855893801,0.7499999512152398,0,6,8,0,6,8
431,0,4,9,0.22060341980453352,0.7566477802329937,0,2,9,0,4,9
432,0,6,8,0.8762412807900973,0.8995158454857656,0,6,8,0,6,8
433,0,8,9,0.3317311819786771,0.868624138657678,0,8,9,0,8,9
434,0,6,8,0.03930639792998604,0.7497669311079631,0,6,8,0,6,8
435,1,9,9,0.9656840238347825,0.9700064321866884,1,9,9,1,9,9
436,0,8,9,0.16721688219456934,0.8456787243166197,1,9,9,0,8,9
437,0,7,8,0.3571333262765429,0.6530376967381366,1,8,8,0,7,8
438,0,5,7,0.2687417471416053,0.8360135464795923,0,5,7,0,5,7
439,0,7,10,0.0005594843974095859,0.4000676250386908,0,5,10,0,4,10
440,0,6,9,0.12602076725394232,0.8205926726140521,0,6,9,0,6,9
441,0,9,10,0.987394253023107,0.988085387296018,0,9,10,0,9,10
442,0,5,9,0.014194312750644117,0.5556330288275968,0,5,9,0,5,9
443,0,6,8,0.04224245714640846,0.7500107496671358,0,6,8,0,6,8
444,0,4,7,0.02355902939592571,0.6970338815665728,0,4,7,0,4,7
445,0,4,8,0.00015186940494164164,0.5015897725698559,0,4,8,0,4,8
446,0,4,8,0.0033823043615653532,0.608353599064231,0,5,8,0,5,8
447,0,5,9,0.059944631135196554,0.6186280840360703,0,6,9,0,5,9
448,0,8,10,0.6078219034501973,0.8107979439641297,0,8,10,0,8,10
449,0,5,8,0.015489655762713075,0.6367049563113176,0,5,8,0,5,8
450,0,4,8,0.005333122970066231,0.6389196451411647,0,4,8,0,4,8
451,0,5,8,0.00044448839505457157,0.6250002934900397,0,5,8,0,5,8
452,0,8,9,0.20013746227762033,0.7883730715822218,0,8,9,0,8,9
453,0,5,8,0.0004880753176222019,0.6019861035580095,0,5,8,0,5,8
454,0,6,8,0.0036104494132584495,0.7378425429463279,0,6,8,0,6,8
455,0,7,9,0.054334281957896566,0.7421265470819445,0,7,9,0,7,9
456,0,7,8,0.10359238294757055,0.8400775415147205,0,7,8,0,6,8
457,0,7,8,0.3570203228186048,0.8720237262845039,1,8,8,1,8,8
458,0,3,7,0.020970668347573166,0.5968409297230453,0,3,7,0,3,7
459,0,5,9,0.003327272296532478,0.6664371115776797,0,5,9,0,6,9
460,0,4,7,0.0013289135308039552,0.5714367057757145,0,4,7,0,4,7
461,0,8,9,0.21698843127533737,0.8879321193138969,0,8,9,0,8,9
462,0,5,8,0.005224265646776759,0.7496487720602472,0,6,8,0,6,8
463,0,7,8,0.05942546353911859,0.8638606460509217,0,7,8,0,7,8
464,0,4,8,0.00044193271545012885,0.620334391625128,0,4,8,0,4,8
465,0,5,8,0.002522250612338355,0.5956296156064592,0,5,8,0,5,8
466,1,8,8,0.987534271342752,0.9880646469059088,1,8,8,1,8,8
467,0,8,9,0.13691583406335292,0.8885356699050091,0,8,9,0,8,9
468,0,4,7,0.0005317544923402008,0.5712610726840426,0,4,7,0,4,7
469,0,5,7,0.9060062390789043,0.9155858187108802,0,5,7,0,5,7
470,0,4,8,0.034835150804815446,0.62846909976108,0,4,8,0,4,8
471,0,6,8,0.08365169604945855,0.7619151970127781,0,6,8,0,6,8
472,0,7,8,0.13907294553426156,0.7467252981467503,0,7,8,0,7,8
473,0,4,7,0.0025879677946945637,0.5716935916731466,0,4,7,0,4,7
474,0,7,8,0.07768461943200043,0.7509051406077353,0,6,8,0,6,8
475,0,7,8,0.0823638420211068,0.8749998231049506,0,7,8,0,7,8
476,0,6,9,0.1284963267501922,0.7797832790250563,0,6,9,0,6,9
477,1,8,8,0.17309133571353813,0.871336438934297,1,8,8,1,8,8
478,0,3,7,0.0013003918695402338,0.3070481420810979,0,0,7,0,2,7
479,0,7,9,0.04068371418132641,0.7779331316918595,0,7,9,0,7,9
480,0,6,9,0.03620191496088167,0.6666893815361943,0,6,9,0,6,9
481,0,4,7,0.008462303990401033,0.43971206626557563,0,4,7,0,4,7
482,0,7,9,0.13207367696866287,0.8469394112359753,0,7,9,0,7,9
483,0,7,8,0.03170386361760821,0.7272412442458293,0,7,8,0,7,8
484,0,8,9,0.7316224673670528,0.8954878958675544,0,8,9,0,8,9
485,0,5,9,0.019740977953467097,0.6759338595187082,0,5,9,0,5,9
486,0,7,8,0.07834317621260606,0.8749844425161187,0,7,8,0,7,8
487,0,4,9,0.05816276945881549,0.7534756779000397,0,4,9,0,4,9
488,0,6,8,0.0773551613957157,0.7619180567224316,0,7,8,0,6,8
489,1,9,9,0.9957765139361365,0.9958469555234526,1,9,9,1,9,9
490,0,7,9,0.20658236314427586,0.8888855223374992,0,7,9,0,7,9
491,0,7,9,0.027951368883040163,0.7777778147380301,0,7,9,0,7,9
492,0,6,9,0.1208302560912121,0.7503542368989307,0,6,9,0,6,9
493,0,5,7,0.10077257611292596,0.6366664042031918,0,5,7,0,5,7
494,0,5,7,0.4167466041268545,0.8407543322857817,0,5,7,0,5,7
495,0,4,8,0.0764637494973552,0.725918854860991,0,4,8,0,4,8
496,0,2,9,0.004013754993147781,0.2985096780609325,0,2,9,0,2,9
497,0,5,9,0.035617310273206366,0.7217617685097554,0,5,9,0,5,9
498,0,6,8,0.015349087027535228,0.5467358851781725,0,6,8,0,6,8
