source,class_id,alignment_norm,artifact_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
User_IMFfdloss_3,156,1.0,0.52,0.52,0.67,0.57,0.98,0.3,0.51,0.38,0.66
User_IMFfdloss_3,159,0.75,0.5,0.45,0.55,1.05,0.97,0.47,0.44,0.58,0.53
User_IMFfdloss_3,281,0.97,0.6,0.58,0.73,1.64,0.94,0.95,0.54,1.2,0.69
User_IMFfdloss_3,300,0.93,0.8,0.75,0.85,0.55,0.94,0.42,0.7,0.47,0.8
User_IMFfdloss_3,322,0.8,0.76,0.61,0.76,0.74,0.83,0.45,0.51,0.57,0.63
User_IMFfdloss_3,330,0.74,0.68,0.51,0.69,0.37,0.99,0.19,0.5,0.26,0.69
User_IMFfdloss_3,333,0.93,0.48,0.44,0.62,1.11,1.01,0.49,0.44,0.69,0.63
User_IMFfdloss_3,339,0.88,0.68,0.62,0.76,1.73,1.01,1.06,0.62,1.32,0.77
User_IMFfdloss_3,347,0.98,0.88,0.87,0.92,0.55,0.89,0.48,0.77,0.51,0.82
User_IMFfdloss_3,356,0.84,0.8,0.7,0.81,1.42,0.93,1.0,0.66,1.16,0.76
User_IMFfdloss_3,365,0.91,0.64,0.59,0.74,0.93,0.88,0.55,0.52,0.69,0.65
User_IMFfdloss_3,370,0.98,0.84,0.82,0.9,0.88,0.98,0.72,0.8,0.79,0.87
User_IMFfdloss_3,389,0.36,0.52,0.17,0.4,2.23,0.9,0.39,0.16,0.88,0.36
User_IMFfdloss_3,392,0.77,0.68,0.53,0.72,0.47,1.16,0.25,0.62,0.34,0.83
User_IMFfdloss_3,394,0.79,0.56,0.45,0.63,2.12,1.0,0.96,0.45,1.35,0.63
User_IMFfdloss_3,396,0.84,0.8,0.69,0.82,0.23,0.97,0.16,0.67,0.19,0.79
User_IMFfdloss_3,400,0.64,0.56,0.39,0.52,0.22,0.69,0.09,0.27,0.11,0.36
User_IMFfdloss_3,405,0.68,0.48,0.33,0.53,0.56,1.01,0.19,0.34,0.3,0.54
User_IMFfdloss_3,406,0.82,0.64,0.55,0.71,1.35,0.8,0.74,0.44,0.95,0.57
User_IMFfdloss_3,413,0.95,0.6,0.58,0.7,0.41,0.93,0.23,0.54,0.29,0.65
