source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_DiT_ref_class1000,406,0.91,0.67,0.62,0.77
Sys_DiT_ref_class1000,407,0.88,0.61,0.55,0.72
Sys_DiT_ref_class1000,408,0.91,0.66,0.6,0.76
Sys_DiT_ref_class1000,409,0.37,0.39,0.16,0.36
Sys_DiT_ref_class1000,410,0.55,0.39,0.23,0.45
Sys_DiT_ref_class1000,411,0.63,0.57,0.41,0.59
Sys_DiT_ref_class1000,412,0.85,0.61,0.53,0.69
Sys_DiT_ref_class1000,413,0.37,0.31,0.15,0.33
Sys_DiT_ref_class1000,414,0.88,0.6,0.55,0.71
Sys_DiT_ref_class1000,415,0.79,0.59,0.48,0.67
Sys_DiT_ref_class1000,416,0.48,0.31,0.17,0.3
Sys_DiT_ref_class1000,417,0.95,0.71,0.68,0.81
Sys_DiT_ref_class1000,418,0.63,0.61,0.45,0.6
Sys_DiT_ref_class1000,419,0.86,0.55,0.49,0.66
Sys_DiT_ref_class1000,420,0.5,0.4,0.24,0.43
Sys_DiT_ref_class1000,421,0.88,0.72,0.63,0.78
Sys_DiT_ref_class1000,422,0.8,0.37,0.3,0.49
Sys_DiT_ref_class1000,423,0.89,0.64,0.59,0.74
Sys_DiT_ref_class1000,424,0.62,0.38,0.23,0.45
Sys_DiT_ref_class1000,425,0.91,0.67,0.62,0.78
Sys_DiT_ref_class1000,426,0.59,0.57,0.39,0.56
Sys_DiT_ref_class1000,427,0.76,0.63,0.5,0.67
Sys_DiT_ref_class1000,428,0.44,0.48,0.28,0.38
Sys_DiT_ref_class1000,429,0.69,0.68,0.54,0.67
Sys_DiT_ref_class1000,430,0.27,0.28,0.07,0.23
Sys_DiT_ref_class1000,431,0.81,0.5,0.39,0.57
Sys_DiT_ref_class1000,432,0.74,0.45,0.34,0.53
Sys_DiT_ref_class1000,433,0.74,0.56,0.46,0.57
Sys_DiT_ref_class1000,434,0.47,0.54,0.3,0.47
Sys_DiT_ref_class1000,435,0.58,0.29,0.17,0.33
Sys_DiT_ref_class1000,436,0.65,0.6,0.4,0.55
Sys_DiT_ref_class1000,437,0.95,0.8,0.76,0.87
Sys_DiT_ref_class1000,438,0.63,0.55,0.33,0.52
Sys_DiT_ref_class1000,439,0.48,0.52,0.29,0.41
Sys_DiT_ref_class1000,440,0.76,0.48,0.38,0.59
Sys_DiT_ref_class1000,441,0.89,0.7,0.65,0.78
Sys_DiT_ref_class1000,442,0.33,0.69,0.21,0.36
Sys_DiT_ref_class1000,443,0.97,0.77,0.75,0.85
Sys_DiT_ref_class1000,444,0.48,0.45,0.26,0.38
Sys_DiT_ref_class1000,445,0.75,0.41,0.33,0.52
Sys_DiT_ref_class1000,446,0.76,0.55,0.43,0.63
Sys_DiT_ref_class1000,447,0.59,0.47,0.35,0.5
Sys_DiT_ref_class1000,448,0.81,0.56,0.47,0.65
Sys_DiT_ref_class1000,449,0.44,0.51,0.3,0.43
Sys_DiT_ref_class1000,450,0.95,0.64,0.6,0.76
Sys_DiT_ref_class1000,451,0.91,0.69,0.63,0.78
Sys_DiT_ref_class1000,452,0.86,0.72,0.62,0.74
Sys_DiT_ref_class1000,453,0.91,0.68,0.62,0.78
Sys_DiT_ref_class1000,454,0.64,0.43,0.32,0.49
Sys_DiT_ref_class1000,455,0.66,0.46,0.3,0.49
Sys_DiT_ref_class1000,456,0.38,0.3,0.11,0.21
Sys_DiT_ref_class1000,457,0.83,0.61,0.54,0.69
Sys_DiT_ref_class1000,458,0.61,0.42,0.26,0.49
Sys_DiT_ref_class1000,459,0.63,0.34,0.23,0.42
Sys_DiT_ref_class1000,460,0.58,0.8,0.44,0.56
