source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_IMF_ref_2,590,0.82,0.52,0.42,0.62
Sys_IMF_ref_2,605,0.41,0.39,0.18,0.38
Sys_IMF_ref_2,606,0.6,0.51,0.33,0.48
Sys_IMF_ref_2,626,0.81,0.56,0.48,0.66
Sys_IMF_ref_2,632,0.63,0.56,0.36,0.51
Sys_IMF_ref_2,633,0.77,0.63,0.49,0.68
Sys_IMF_ref_2,634,0.66,0.56,0.39,0.58
Sys_IMF_ref_2,645,0.86,0.5,0.44,0.62
Sys_IMF_ref_2,654,0.78,0.43,0.34,0.53
Sys_IMF_ref_2,679,0.86,0.64,0.57,0.73
Sys_IMF_ref_2,687,0.91,0.73,0.67,0.81
Sys_IMF_ref_2,730,0.73,0.53,0.42,0.61
Sys_IMF_ref_2,743,0.52,0.5,0.3,0.48
Sys_IMF_ref_2,746,0.75,0.57,0.45,0.64
Sys_IMF_ref_2,755,0.91,0.63,0.57,0.74
Sys_IMF_ref_2,756,0.82,0.64,0.53,0.72
Sys_IMF_ref_2,806,0.94,0.84,0.8,0.89
Sys_IMF_ref_2,810,0.6,0.44,0.26,0.44
Sys_IMF_ref_2,819,0.82,0.47,0.4,0.59
Sys_IMF_ref_2,836,0.0,0.47,0.0,0.0
Sys_IMF_ref_2,903,0.72,0.47,0.37,0.56
Sys_IMF_ref_2,917,0.62,0.4,0.26,0.48
Sys_IMF_ref_2,919,0.28,0.23,0.07,0.21
Sys_IMF_ref_2,920,0.76,0.63,0.52,0.68
Sys_IMF_ref_2,922,0.21,0.26,0.06,0.22
Sys_IMF_ref_2,928,0.59,0.42,0.27,0.49
Sys_IMF_ref_2,931,0.95,0.77,0.74,0.85
Sys_IMF_ref_2,943,0.71,0.59,0.48,0.61
Sys_IMF_ref_2,952,0.96,0.83,0.8,0.88
Sys_IMF_ref_2,960,0.78,0.63,0.48,0.67
Sys_IMF_ref_2,962,0.82,0.63,0.54,0.71
Sys_IMF_ref_2,968,0.97,0.78,0.76,0.86
Sys_IMF_ref_2,971,0.8,0.48,0.41,0.6
Sys_IMF_ref_2,972,0.89,0.65,0.59,0.73
