source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_DiT_ref_3,159,0.52,0.39,0.24,0.44,1.13,1.04,0.27,0.25,0.49,0.45
Sys_DiT_ref_3,281,0.92,0.34,0.31,0.49,1.83,1.05,0.56,0.32,0.89,0.51
Sys_DiT_ref_3,300,0.96,0.95,0.91,0.95,0.47,0.8,0.43,0.73,0.45,0.76
Sys_DiT_ref_3,322,0.89,0.82,0.74,0.85,0.62,0.69,0.46,0.51,0.52,0.58
Sys_DiT_ref_3,330,0.87,0.56,0.49,0.65,0.35,0.95,0.17,0.47,0.23,0.61
Sys_DiT_ref_3,333,0.89,0.41,0.37,0.54,0.9,0.82,0.33,0.3,0.49,0.45
Sys_DiT_ref_3,339,0.84,0.66,0.55,0.71,1.31,0.76,0.72,0.42,0.93,0.55
Sys_DiT_ref_3,347,0.95,0.7,0.68,0.78,0.45,0.72,0.3,0.49,0.35,0.57
Sys_DiT_ref_3,356,0.74,0.34,0.25,0.46,2.05,1.34,0.52,0.34,0.95,0.62
Sys_DiT_ref_3,365,0.89,0.34,0.3,0.49,0.72,0.68,0.22,0.21,0.35,0.33
Sys_DiT_ref_3,370,0.9,0.32,0.29,0.47,0.76,0.84,0.22,0.24,0.36,0.4
Sys_DiT_ref_3,389,0.28,0.37,0.11,0.32,1.52,0.62,0.16,0.07,0.48,0.2
Sys_DiT_ref_3,392,0.84,0.77,0.66,0.79,0.23,0.57,0.15,0.37,0.18,0.45
Sys_DiT_ref_3,394,0.72,0.52,0.43,0.6,2.01,0.95,0.87,0.41,1.21,0.57
Sys_DiT_ref_3,396,0.97,0.88,0.86,0.92,0.16,0.65,0.13,0.56,0.14,0.6
Sys_DiT_ref_3,400,0.92,0.35,0.33,0.49,0.21,0.65,0.07,0.21,0.1,0.32
Sys_DiT_ref_3,405,0.73,0.53,0.41,0.61,0.39,0.7,0.16,0.29,0.24,0.43
Sys_DiT_ref_3,406,0.9,0.65,0.58,0.74,1.11,0.66,0.64,0.38,0.83,0.49
Sys_DiT_ref_3,413,0.59,0.44,0.28,0.48,0.47,1.06,0.13,0.3,0.22,0.51
Sys_DiT_ref_3,415,0.61,0.48,0.31,0.53,0.78,0.7,0.24,0.21,0.41,0.37
Sys_DiT_ref_3,419,0.67,0.38,0.3,0.45,1.49,1.08,0.45,0.33,0.67,0.48
Sys_DiT_ref_3,421,0.74,0.56,0.43,0.63,2.03,0.88,0.88,0.38,1.28,0.55
Sys_DiT_ref_3,426,0.63,0.44,0.29,0.51,0.96,0.67,0.28,0.2,0.49,0.34
Sys_DiT_ref_3,429,0.98,0.92,0.9,0.95,0.35,0.74,0.32,0.67,0.33,0.7
Sys_DiT_ref_3,432,0.61,0.42,0.27,0.48,1.58,1.36,0.43,0.37,0.75,0.64
Sys_DiT_ref_3,443,0.85,0.62,0.57,0.71,0.25,0.75,0.14,0.43,0.18,0.54
Sys_DiT_ref_3,446,0.7,0.47,0.32,0.48,1.4,0.94,0.45,0.3,0.67,0.45
Sys_DiT_ref_3,453,0.6,0.52,0.36,0.55,0.43,0.6,0.16,0.22,0.24,0.33
Sys_DiT_ref_3,461,0.88,0.81,0.73,0.84,0.3,0.53,0.22,0.39,0.25,0.44
Sys_DiT_ref_3,477,0.31,0.48,0.16,0.32,2.11,0.68,0.34,0.11,0.68,0.22
Sys_DiT_ref_3,479,0.59,0.46,0.38,0.52,0.47,0.73,0.18,0.28,0.24,0.38
Sys_DiT_ref_3,481,0.56,0.4,0.28,0.43,0.83,1.42,0.23,0.39,0.36,0.61
Sys_DiT_ref_3,488,0.79,0.65,0.57,0.71,1.07,1.02,0.6,0.58,0.76,0.73
Sys_DiT_ref_3,499,0.85,0.56,0.47,0.65,1.23,1.03,0.58,0.48,0.8,0.67
Sys_DiT_ref_3,529,0.9,0.44,0.4,0.58,2.75,0.67,1.11,0.27,1.59,0.39
Sys_DiT_ref_3,535,0.71,0.57,0.41,0.63,0.45,0.87,0.18,0.36,0.28,0.54
Sys_DiT_ref_3,554,0.89,0.44,0.41,0.59,1.07,0.81,0.44,0.33,0.63,0.48
Sys_DiT_ref_3,567,0.76,0.58,0.47,0.65,3.49,0.85,1.65,0.4,2.26,0.55
Sys_DiT_ref_3,575,0.71,0.39,0.29,0.5,0.66,0.69,0.19,0.2,0.33,0.34
Sys_DiT_ref_3,585,0.39,0.36,0.21,0.32,1.32,0.98,0.28,0.21,0.42,0.32
Sys_DiT_ref_3,590,0.87,0.53,0.47,0.66,0.98,0.81,0.46,0.39,0.64,0.53
Sys_DiT_ref_3,605,0.5,0.36,0.17,0.36,5.26,1.16,0.9,0.2,1.9,0.42
Sys_DiT_ref_3,606,0.47,0.44,0.26,0.41,0.91,0.72,0.24,0.19,0.37,0.3
Sys_DiT_ref_3,626,0.72,0.49,0.38,0.54,3.23,1.04,1.23,0.39,1.74,0.56
Sys_DiT_ref_3,632,0.68,0.63,0.44,0.64,1.02,0.96,0.45,0.42,0.65,0.61
Sys_DiT_ref_3,633,0.87,0.55,0.5,0.67,1.15,1.14,0.58,0.57,0.77,0.76
Sys_DiT_ref_3,634,0.35,0.47,0.18,0.31,0.51,0.84,0.09,0.15,0.16,0.26
Sys_DiT_ref_3,645,0.86,0.4,0.35,0.54,0.45,0.74,0.16,0.26,0.24,0.4
Sys_DiT_ref_3,654,0.9,0.62,0.56,0.72,1.0,0.83,0.56,0.47,0.73,0.6
Sys_DiT_ref_3,679,0.77,0.58,0.49,0.66,0.57,0.68,0.28,0.33,0.37,0.45
Sys_DiT_ref_3,687,0.95,0.84,0.8,0.89,0.29,0.67,0.23,0.54,0.25,0.6
Sys_DiT_ref_3,730,0.72,0.49,0.38,0.58,1.31,0.98,0.5,0.37,0.76,0.57
Sys_DiT_ref_3,743,0.73,0.74,0.57,0.68,1.05,0.79,0.6,0.45,0.71,0.53
Sys_DiT_ref_3,746,0.39,0.52,0.25,0.4,0.55,1.05,0.14,0.27,0.22,0.42
Sys_DiT_ref_3,755,0.77,0.74,0.67,0.74,0.22,0.9,0.15,0.6,0.16,0.66
Sys_DiT_ref_3,756,0.83,0.58,0.48,0.67,1.59,0.54,0.76,0.26,1.07,0.36
Sys_DiT_ref_3,806,0.97,0.87,0.84,0.91,0.95,0.93,0.8,0.79,0.87,0.85
Sys_DiT_ref_3,810,0.57,0.71,0.45,0.54,0.36,0.87,0.16,0.39,0.19,0.47
Sys_DiT_ref_3,819,0.71,0.4,0.29,0.5,0.4,0.77,0.12,0.22,0.2,0.39
Sys_DiT_ref_3,836,0.0,0.39,0.0,0.01,0.83,0.55,0.0,0.0,0.01,0.0
Sys_DiT_ref_3,903,0.75,0.61,0.5,0.68,1.01,0.69,0.5,0.34,0.68,0.47
Sys_DiT_ref_3,917,0.71,0.43,0.31,0.53,0.72,0.59,0.22,0.18,0.38,0.31
Sys_DiT_ref_3,919,0.29,0.25,0.07,0.26,1.4,0.78,0.1,0.06,0.37,0.2
Sys_DiT_ref_3,920,0.7,0.53,0.38,0.58,0.66,0.83,0.25,0.32,0.39,0.48
Sys_DiT_ref_3,922,0.21,0.2,0.04,0.19,0.44,0.73,0.02,0.03,0.08,0.14
Sys_DiT_ref_3,928,0.8,0.61,0.5,0.69,2.49,0.83,1.24,0.41,1.72,0.57
Sys_DiT_ref_3,931,0.81,0.63,0.55,0.71,0.71,0.96,0.39,0.53,0.5,0.68
Sys_DiT_ref_3,943,0.79,0.58,0.46,0.65,1.19,1.23,0.55,0.56,0.78,0.8
Sys_DiT_ref_3,952,0.94,0.82,0.77,0.87,0.86,0.87,0.67,0.68,0.75,0.76
Sys_DiT_ref_3,960,0.79,0.62,0.5,0.69,2.78,0.78,1.39,0.39,1.91,0.53
Sys_DiT_ref_3,962,0.91,0.7,0.65,0.79,0.68,0.91,0.45,0.6,0.54,0.72
Sys_DiT_ref_3,968,0.82,0.7,0.61,0.75,1.67,0.75,1.02,0.46,1.25,0.57
Sys_DiT_ref_3,971,0.66,0.53,0.38,0.55,0.48,1.06,0.18,0.41,0.26,0.58
Sys_DiT_ref_3,972,0.57,0.46,0.29,0.48,1.74,0.72,0.51,0.21,0.85,0.35
Sys_DiT_ref_3,981,0.68,0.32,0.22,0.43,0.59,0.87,0.13,0.19,0.26,0.38
Sys_DiT_ref_3,982,0.4,0.28,0.15,0.32,0.93,0.71,0.14,0.11,0.3,0.23
Sys_DiT_ref_3,983,0.92,0.53,0.49,0.67,0.24,0.44,0.12,0.22,0.16,0.29
Sys_DiT_ref_3,985,0.78,0.8,0.68,0.78,1.72,0.75,1.17,0.51,1.34,0.58
Sys_DiT_ref_3,991,0.91,0.89,0.82,0.9,0.4,0.62,0.32,0.51,0.36,0.55
Sys_DiT_ref_3,999,0.9,0.58,0.52,0.7,1.3,1.01,0.68,0.53,0.91,0.71
User_DiT_1,4,1.0,0.8,0.8,0.88,0.87,0.78,0.7,0.62,0.77,0.69
User_DiT_1,7,0.92,0.68,0.62,0.76,0.49,0.71,0.3,0.44,0.37,0.54
User_DiT_1,10,0.66,0.8,0.55,0.69,0.83,0.9,0.46,0.5,0.57,0.62
User_DiT_1,25,0.93,0.76,0.73,0.83,1.11,0.83,0.81,0.61,0.92,0.69
User_DiT_1,35,0.92,0.76,0.7,0.83,1.0,0.83,0.7,0.58,0.83,0.69
User_DiT_1,39,0.95,0.76,0.73,0.84,0.77,0.89,0.56,0.65,0.64,0.75
User_DiT_1,49,1.0,0.84,0.84,0.91,1.17,1.16,0.98,0.98,1.06,1.05
User_DiT_1,51,0.8,0.8,0.76,0.78,0.83,0.91,0.63,0.69,0.65,0.71
User_DiT_1,52,0.86,0.76,0.7,0.79,2.47,1.04,1.73,0.73,1.96,0.83
User_DiT_1,64,0.72,0.72,0.52,0.71,1.14,0.91,0.59,0.47,0.81,0.65
User_DiT_1,80,0.82,0.52,0.52,0.62,0.29,0.47,0.15,0.24,0.18,0.29
User_DiT_1,97,1.0,0.88,0.88,0.93,1.41,0.84,1.24,0.74,1.31,0.78
User_DiT_1,106,0.97,0.68,0.65,0.79,2.51,0.76,1.64,0.5,1.98,0.6
User_DiT_1,116,1.0,0.88,0.88,0.93,0.43,0.71,0.37,0.63,0.4,0.66
User_DiT_1,118,0.72,0.64,0.48,0.66,1.12,0.82,0.54,0.39,0.74,0.54
User_DiT_1,129,0.77,0.64,0.5,0.69,0.68,1.04,0.34,0.52,0.47,0.72
User_DiT_1,144,0.93,0.6,0.56,0.72,1.13,1.01,0.63,0.56,0.82,0.73
User_DiT_1,147,1.0,0.8,0.8,0.88,0.83,0.75,0.66,0.6,0.73,0.66
User_DiT_1,150,0.88,0.76,0.66,0.8,1.51,1.03,1.0,0.68,1.21,0.82
User_DiT_1,156,1.0,0.64,0.64,0.77,0.47,0.8,0.3,0.51,0.36,0.62
User_DiT_1,159,0.49,0.4,0.24,0.4,1.13,1.04,0.27,0.25,0.45,0.42
User_DiT_1,281,1.0,0.44,0.44,0.61,1.83,1.05,0.8,0.46,1.11,0.64
