source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_VAR_ref_500_2,25,0.93,0.63,0.58,0.72,1.25,0.94,0.73,0.55,0.9,0.68
Sys_VAR_ref_500_2,35,0.73,0.6,0.45,0.65,0.96,0.79,0.43,0.36,0.63,0.52
Sys_VAR_ref_500_2,39,0.88,0.7,0.64,0.77,0.74,0.86,0.47,0.55,0.57,0.66
Sys_VAR_ref_500_2,49,0.64,0.59,0.38,0.61,0.98,0.97,0.37,0.37,0.6,0.59
Sys_VAR_ref_500_2,51,0.91,0.77,0.72,0.83,0.73,0.79,0.53,0.57,0.61,0.66
Sys_VAR_ref_500_2,52,0.86,0.81,0.71,0.82,2.17,0.92,1.53,0.65,1.79,0.75
Sys_VAR_ref_500_2,64,0.65,0.68,0.44,0.64,1.2,0.96,0.53,0.42,0.77,0.61
Sys_VAR_ref_500_2,80,0.88,0.33,0.29,0.48,0.66,1.07,0.19,0.31,0.31,0.51
Sys_VAR_ref_500_2,97,0.86,0.67,0.58,0.7,1.46,0.87,0.84,0.5,1.03,0.61
Sys_VAR_ref_500_2,106,0.94,0.68,0.65,0.76,2.87,0.87,1.86,0.56,2.19,0.67
Sys_VAR_ref_500_2,116,0.98,0.85,0.84,0.91,0.39,0.65,0.32,0.54,0.35,0.58
Sys_VAR_ref_500_2,118,0.72,0.54,0.41,0.61,1.37,1.0,0.57,0.41,0.84,0.61
Sys_VAR_ref_500_2,129,0.8,0.32,0.26,0.45,0.73,1.12,0.19,0.29,0.33,0.51
Sys_VAR_ref_500_2,144,0.77,0.52,0.4,0.59,0.93,0.83,0.37,0.33,0.55,0.49
Sys_VAR_ref_500_2,147,0.93,0.69,0.64,0.79,0.77,0.69,0.5,0.45,0.61,0.55
Sys_VAR_ref_500_2,150,0.82,0.34,0.27,0.47,1.31,0.89,0.36,0.24,0.61,0.42
Sys_VAR_ref_500_2,156,0.92,0.48,0.45,0.62,0.55,0.94,0.25,0.42,0.34,0.58
Sys_VAR_ref_500_2,159,0.78,0.41,0.33,0.52,0.94,0.86,0.31,0.28,0.49,0.45
Sys_VAR_ref_500_2,281,0.85,0.29,0.25,0.43,1.78,1.02,0.44,0.25,0.77,0.44
Sys_VAR_ref_500_2,300,0.87,0.79,0.72,0.83,0.58,0.99,0.42,0.71,0.48,0.82
Sys_VAR_ref_500_2,322,0.93,0.67,0.64,0.76,0.9,1.0,0.57,0.63,0.68,0.76
Sys_VAR_ref_500_2,330,0.79,0.59,0.47,0.66,0.36,0.97,0.17,0.46,0.24,0.64
Sys_VAR_ref_500_2,333,0.69,0.39,0.29,0.49,0.82,0.75,0.24,0.22,0.4,0.36
Sys_VAR_ref_500_2,339,0.79,0.57,0.5,0.66,1.65,0.96,0.82,0.48,1.09,0.63
Sys_VAR_ref_500_2,347,0.86,0.61,0.54,0.69,0.5,0.81,0.27,0.44,0.35,0.56
Sys_VAR_ref_500_2,356,0.9,0.53,0.48,0.65,1.45,0.95,0.7,0.46,0.95,0.62
Sys_VAR_ref_500_2,365,0.81,0.39,0.31,0.5,0.86,0.81,0.27,0.25,0.43,0.41
Sys_VAR_ref_500_2,370,0.83,0.51,0.43,0.61,0.72,0.79,0.31,0.34,0.44,0.48
Sys_VAR_ref_500_2,389,0.43,0.4,0.18,0.39,2.04,0.83,0.37,0.15,0.79,0.32
Sys_VAR_ref_500_2,392,0.73,0.54,0.42,0.6,0.36,0.88,0.15,0.37,0.22,0.53
Sys_VAR_ref_500_2,394,0.82,0.54,0.47,0.64,1.95,0.92,0.92,0.43,1.25,0.59
Sys_VAR_ref_500_2,396,0.93,0.82,0.77,0.87,0.27,1.15,0.21,0.89,0.24,1.0
Sys_VAR_ref_500_2,400,0.87,0.56,0.51,0.67,0.27,0.85,0.14,0.44,0.18,0.57
Sys_VAR_ref_500_2,405,0.86,0.58,0.51,0.68,0.65,1.17,0.33,0.6,0.44,0.79
Sys_VAR_ref_500_2,406,0.75,0.64,0.5,0.68,1.13,0.67,0.56,0.33,0.76,0.45
Sys_VAR_ref_500_2,413,0.82,0.59,0.51,0.67,0.45,1.04,0.23,0.53,0.31,0.7
Sys_VAR_ref_500_2,415,0.46,0.47,0.21,0.4,0.91,0.82,0.19,0.17,0.37,0.33
Sys_VAR_ref_500_2,419,0.55,0.67,0.37,0.51,1.16,0.84,0.43,0.31,0.59,0.43
Sys_VAR_ref_500_2,421,0.76,0.64,0.51,0.67,1.78,0.77,0.91,0.39,1.2,0.52
Sys_VAR_ref_500_2,426,0.57,0.31,0.19,0.4,1.07,0.74,0.2,0.14,0.43,0.3
Sys_VAR_ref_500_2,429,0.35,0.37,0.19,0.32,0.44,0.94,0.09,0.18,0.14,0.3
Sys_VAR_ref_500_2,432,0.84,0.59,0.53,0.68,1.4,1.21,0.74,0.64,0.96,0.82
Sys_VAR_ref_500_2,443,0.8,0.86,0.73,0.8,0.3,0.91,0.22,0.67,0.24,0.73
Sys_VAR_ref_500_2,446,0.69,0.61,0.41,0.56,1.28,0.86,0.52,0.35,0.72,0.49
Sys_VAR_ref_500_2,453,0.86,0.53,0.47,0.65,0.56,0.79,0.27,0.37,0.37,0.51
Sys_VAR_ref_500_2,461,0.73,0.71,0.54,0.7,0.37,0.66,0.2,0.36,0.26,0.46
Sys_VAR_ref_500_2,477,0.55,0.41,0.23,0.46,2.46,0.79,0.57,0.18,1.13,0.36
Sys_VAR_ref_500_2,479,0.93,0.75,0.7,0.82,0.47,0.74,0.33,0.52,0.39,0.61
Sys_VAR_ref_500_2,481,0.62,0.46,0.33,0.52,0.5,0.85,0.17,0.29,0.26,0.44
Sys_VAR_ref_500_2,488,0.74,0.68,0.52,0.69,0.92,0.88,0.47,0.46,0.63,0.61
Sys_VAR_ref_500_2,499,0.36,0.49,0.21,0.38,1.32,1.11,0.28,0.24,0.51,0.42
Sys_VAR_ref_500_2,529,0.88,0.66,0.59,0.74,3.25,0.8,1.91,0.47,2.4,0.59
Sys_VAR_ref_500_2,535,0.84,0.62,0.54,0.71,0.42,0.81,0.22,0.44,0.3,0.58
Sys_VAR_ref_500_2,554,0.86,0.43,0.39,0.56,1.0,0.76,0.4,0.3,0.57,0.43
Sys_VAR_ref_500_2,567,0.8,0.48,0.4,0.58,3.66,0.89,1.46,0.35,2.12,0.51
Sys_VAR_ref_500_2,575,0.9,0.43,0.39,0.58,0.76,0.79,0.3,0.31,0.44,0.46
Sys_VAR_ref_500_2,585,0.31,0.27,0.1,0.25,1.38,1.03,0.14,0.1,0.34,0.25
Sys_VAR_ref_500_2,590,0.7,0.47,0.37,0.53,1.05,0.87,0.39,0.33,0.56,0.46
Sys_VAR_ref_500_2,605,0.5,0.48,0.28,0.45,4.74,1.04,1.32,0.29,2.11,0.47
Sys_VAR_ref_500_2,606,0.71,0.54,0.44,0.58,0.78,0.62,0.34,0.27,0.45,0.36
Sys_VAR_ref_500_2,626,0.68,0.54,0.41,0.58,3.21,1.03,1.33,0.43,1.86,0.6
Sys_VAR_ref_500_2,632,0.82,0.61,0.54,0.7,0.95,0.89,0.51,0.48,0.66,0.62
Sys_VAR_ref_500_2,633,0.79,0.48,0.4,0.59,1.08,1.06,0.43,0.42,0.64,0.63
Sys_VAR_ref_500_2,634,0.7,0.64,0.45,0.65,0.46,0.75,0.21,0.34,0.3,0.49
Sys_VAR_ref_500_2,645,0.86,0.49,0.43,0.59,0.39,0.63,0.16,0.27,0.23,0.38
Sys_VAR_ref_500_2,654,0.95,0.68,0.64,0.79,0.88,0.73,0.57,0.47,0.69,0.58
Sys_VAR_ref_500_2,679,0.82,0.62,0.53,0.7,0.55,0.66,0.29,0.35,0.38,0.46
Sys_VAR_ref_500_2,687,0.93,0.65,0.61,0.76,0.27,0.63,0.16,0.38,0.2,0.48
Sys_VAR_ref_500_2,730,0.62,0.37,0.31,0.46,1.13,0.85,0.35,0.26,0.52,0.39
Sys_VAR_ref_500_2,743,0.81,0.63,0.52,0.68,1.1,0.83,0.57,0.43,0.75,0.56
Sys_VAR_ref_500_2,746,0.56,0.47,0.32,0.42,0.55,1.06,0.18,0.34,0.23,0.45
Sys_VAR_ref_500_2,755,0.83,0.64,0.53,0.72,0.24,0.98,0.13,0.52,0.17,0.7
Sys_VAR_ref_500_2,756,0.83,0.6,0.52,0.69,2.29,0.78,1.18,0.4,1.59,0.54
Sys_VAR_ref_500_2,806,0.91,0.8,0.74,0.85,1.08,1.06,0.8,0.78,0.92,0.9
Sys_VAR_ref_500_2,810,0.86,0.66,0.58,0.74,0.38,0.91,0.22,0.53,0.28,0.68
Sys_VAR_ref_500_2,819,0.76,0.5,0.38,0.58,0.38,0.72,0.14,0.28,0.22,0.42
Sys_VAR_ref_500_2,836,0.39,0.56,0.2,0.26,1.23,0.82,0.24,0.16,0.32,0.21
Sys_VAR_ref_500_2,903,0.66,0.46,0.33,0.53,1.1,0.76,0.36,0.25,0.58,0.4
Sys_VAR_ref_500_2,917,0.82,0.47,0.39,0.59,0.5,0.41,0.19,0.16,0.29,0.24
Sys_VAR_ref_500_2,919,0.42,0.29,0.13,0.35,1.32,0.73,0.17,0.09,0.46,0.25
Sys_VAR_ref_500_2,920,0.85,0.7,0.6,0.76,0.77,0.96,0.46,0.57,0.58,0.72
Sys_VAR_ref_500_2,922,0.28,0.28,0.12,0.25,0.47,0.78,0.06,0.09,0.12,0.2
Sys_VAR_ref_500_2,928,0.73,0.58,0.43,0.63,2.3,0.76,0.98,0.33,1.44,0.48
Sys_VAR_ref_500_2,931,0.8,0.55,0.44,0.64,0.63,0.86,0.28,0.38,0.41,0.55
Sys_VAR_ref_500_2,943,0.89,0.75,0.68,0.81,0.88,0.9,0.59,0.61,0.71,0.73
Sys_VAR_ref_500_2,952,0.94,0.82,0.78,0.87,0.72,0.73,0.56,0.57,0.63,0.64
Sys_VAR_ref_500_2,960,0.96,0.71,0.68,0.81,2.64,0.74,1.8,0.5,2.15,0.6
Sys_VAR_ref_500_2,962,0.84,0.62,0.53,0.7,0.56,0.75,0.3,0.4,0.4,0.53
