group,alignment_threshold,authenticity_threshold,probability
Sys_JiTfdloss_ref_500,0.08,0.96,0.038000000000000006
Sys_JiTfdloss_ref_500,0.08,0.98,0.030000000000000006
Sys_JiTfdloss_ref_500,0.08,1.0,0.006000000000000001
Sys_JiTfdloss_ref_500,0.1,0.0,0.982
Sys_JiTfdloss_ref_500,0.1,0.02,0.982
Sys_JiTfdloss_ref_500,0.1,0.04,0.982
Sys_JiTfdloss_ref_500,0.1,0.06,0.982
Sys_JiTfdloss_ref_500,0.1,0.08,0.982
Sys_JiTfdloss_ref_500,0.1,0.1,0.982
Sys_JiTfdloss_ref_500,0.1,0.12,0.982
Sys_JiTfdloss_ref_500,0.1,0.14,0.982
Sys_JiTfdloss_ref_500,0.1,0.16,0.982
Sys_JiTfdloss_ref_500,0.1,0.18,0.9799999999999999
Sys_JiTfdloss_ref_500,0.1,0.2,0.9719999999999999
Sys_JiTfdloss_ref_500,0.1,0.22,0.9699999999999999
Sys_JiTfdloss_ref_500,0.1,0.24,0.9640000000000001
Sys_JiTfdloss_ref_500,0.1,0.26,0.9579999999999999
Sys_JiTfdloss_ref_500,0.1,0.28,0.9479999999999998
Sys_JiTfdloss_ref_500,0.1,0.3,0.9339999999999999
Sys_JiTfdloss_ref_500,0.1,0.32,0.8419999999999997
Sys_JiTfdloss_ref_500,0.1,0.34,0.8319999999999996
Sys_JiTfdloss_ref_500,0.1,0.36,0.8219999999999995
Sys_JiTfdloss_ref_500,0.1,0.38,0.8079999999999995
Sys_JiTfdloss_ref_500,0.1,0.4,0.7879999999999996
Sys_JiTfdloss_ref_500,0.1,0.42,0.7419999999999994
Sys_JiTfdloss_ref_500,0.1,0.44,0.7199999999999998
Sys_JiTfdloss_ref_500,0.1,0.46,0.6939999999999997
Sys_JiTfdloss_ref_500,0.1,0.48,0.65
Sys_JiTfdloss_ref_500,0.1,0.5,0.636
Sys_JiTfdloss_ref_500,0.1,0.52,0.606
Sys_JiTfdloss_ref_500,0.1,0.54,0.584
Sys_JiTfdloss_ref_500,0.1,0.56,0.5720000000000001
Sys_JiTfdloss_ref_500,0.1,0.58,0.5459999999999999
Sys_JiTfdloss_ref_500,0.1,0.6,0.5099999999999999
Sys_JiTfdloss_ref_500,0.1,0.62,0.48999999999999994
Sys_JiTfdloss_ref_500,0.1,0.64,0.44799999999999984
Sys_JiTfdloss_ref_500,0.1,0.66,0.4259999999999998
Sys_JiTfdloss_ref_500,0.1,0.68,0.3999999999999997
Sys_JiTfdloss_ref_500,0.1,0.7,0.3419999999999998
Sys_JiTfdloss_ref_500,0.1,0.72,0.3059999999999999
Sys_JiTfdloss_ref_500,0.1,0.74,0.25999999999999995
Sys_JiTfdloss_ref_500,0.1,0.76,0.20399999999999988
Sys_JiTfdloss_ref_500,0.1,0.78,0.16399999999999995
Sys_JiTfdloss_ref_500,0.1,0.8,0.13599999999999995
Sys_JiTfdloss_ref_500,0.1,0.82,0.11199999999999999
Sys_JiTfdloss_ref_500,0.1,0.84,0.08600000000000003
Sys_JiTfdloss_ref_500,0.1,0.86,0.07200000000000002
Sys_JiTfdloss_ref_500,0.1,0.88,0.06400000000000002
Sys_JiTfdloss_ref_500,0.1,0.9,0.058000000000000024
Sys_JiTfdloss_ref_500,0.1,0.92,0.04600000000000002
Sys_JiTfdloss_ref_500,0.1,0.94,0.04200000000000001
Sys_JiTfdloss_ref_500,0.1,0.96,0.038000000000000006
Sys_JiTfdloss_ref_500,0.1,0.98,0.030000000000000006
Sys_JiTfdloss_ref_500,0.1,1.0,0.006000000000000001
Sys_JiTfdloss_ref_500,0.12,0.0,0.978
Sys_JiTfdloss_ref_500,0.12,0.02,0.978
Sys_JiTfdloss_ref_500,0.12,0.04,0.978
Sys_JiTfdloss_ref_500,0.12,0.06,0.978
Sys_JiTfdloss_ref_500,0.12,0.08,0.978
Sys_JiTfdloss_ref_500,0.12,0.1,0.978
Sys_JiTfdloss_ref_500,0.12,0.12,0.978
Sys_JiTfdloss_ref_500,0.12,0.14,0.978
Sys_JiTfdloss_ref_500,0.12,0.16,0.978
Sys_JiTfdloss_ref_500,0.12,0.18,0.9759999999999998
Sys_JiTfdloss_ref_500,0.12,0.2,0.968
Sys_JiTfdloss_ref_500,0.12,0.22,0.968
Sys_JiTfdloss_ref_500,0.12,0.24,0.9619999999999999
Sys_JiTfdloss_ref_500,0.12,0.26,0.9579999999999999
Sys_JiTfdloss_ref_500,0.12,0.28,0.9479999999999998
Sys_JiTfdloss_ref_500,0.12,0.3,0.9339999999999999
Sys_JiTfdloss_ref_500,0.12,0.32,0.8419999999999997
Sys_JiTfdloss_ref_500,0.12,0.34,0.8319999999999996
Sys_JiTfdloss_ref_500,0.12,0.36,0.8219999999999995
Sys_JiTfdloss_ref_500,0.12,0.38,0.8079999999999995
Sys_JiTfdloss_ref_500,0.12,0.4,0.7879999999999996
Sys_JiTfdloss_ref_500,0.12,0.42,0.7419999999999994
Sys_JiTfdloss_ref_500,0.12,0.44,0.7199999999999998
Sys_JiTfdloss_ref_500,0.12,0.46,0.6939999999999997
Sys_JiTfdloss_ref_500,0.12,0.48,0.65
Sys_JiTfdloss_ref_500,0.12,0.5,0.636
Sys_JiTfdloss_ref_500,0.12,0.52,0.606
Sys_JiTfdloss_ref_500,0.12,0.54,0.584
Sys_JiTfdloss_ref_500,0.12,0.56,0.5720000000000001
Sys_JiTfdloss_ref_500,0.12,0.58,0.5459999999999999
Sys_JiTfdloss_ref_500,0.12,0.6,0.5099999999999999
Sys_JiTfdloss_ref_500,0.12,0.62,0.48999999999999994
Sys_JiTfdloss_ref_500,0.12,0.64,0.44799999999999984
Sys_JiTfdloss_ref_500,0.12,0.66,0.4259999999999998
Sys_JiTfdloss_ref_500,0.12,0.68,0.3999999999999997
Sys_JiTfdloss_ref_500,0.12,0.7,0.3419999999999998
Sys_JiTfdloss_ref_500,0.12,0.72,0.3059999999999999
Sys_JiTfdloss_ref_500,0.12,0.74,0.25999999999999995
Sys_JiTfdloss_ref_500,0.12,0.76,0.20399999999999988
Sys_JiTfdloss_ref_500,0.12,0.78,0.16399999999999995
Sys_JiTfdloss_ref_500,0.12,0.8,0.13599999999999995
Sys_JiTfdloss_ref_500,0.12,0.82,0.11199999999999999
Sys_JiTfdloss_ref_500,0.12,0.84,0.08600000000000003
Sys_JiTfdloss_ref_500,0.12,0.86,0.07200000000000002
Sys_JiTfdloss_ref_500,0.12,0.88,0.06400000000000002
Sys_JiTfdloss_ref_500,0.12,0.9,0.058000000000000024
Sys_JiTfdloss_ref_500,0.12,0.92,0.04600000000000002
Sys_JiTfdloss_ref_500,0.12,0.94,0.04200000000000001
Sys_JiTfdloss_ref_500,0.12,0.96,0.038000000000000006
Sys_JiTfdloss_ref_500,0.12,0.98,0.030000000000000006
Sys_JiTfdloss_ref_500,0.12,1.0,0.006000000000000001
Sys_JiTfdloss_ref_500,0.14,0.0,0.9739999999999999
Sys_JiTfdloss_ref_500,0.14,0.02,0.9739999999999999
Sys_JiTfdloss_ref_500,0.14,0.04,0.9739999999999999
Sys_JiTfdloss_ref_500,0.14,0.06,0.9739999999999999
Sys_JiTfdloss_ref_500,0.14,0.08,0.9739999999999999
Sys_JiTfdloss_ref_500,0.14,0.1,0.9739999999999999
Sys_JiTfdloss_ref_500,0.14,0.12,0.9739999999999999
Sys_JiTfdloss_ref_500,0.14,0.14,0.9739999999999999
Sys_JiTfdloss_ref_500,0.14,0.16,0.9739999999999999
Sys_JiTfdloss_ref_500,0.14,0.18,0.9719999999999998
Sys_JiTfdloss_ref_500,0.14,0.2,0.964
Sys_JiTfdloss_ref_500,0.14,0.22,0.964
Sys_JiTfdloss_ref_500,0.14,0.24,0.9579999999999999
Sys_JiTfdloss_ref_500,0.14,0.26,0.9539999999999997
Sys_JiTfdloss_ref_500,0.14,0.28,0.9439999999999997
Sys_JiTfdloss_ref_500,0.14,0.3,0.9299999999999998
Sys_JiTfdloss_ref_500,0.14,0.32,0.8399999999999997
Sys_JiTfdloss_ref_500,0.14,0.34,0.8299999999999996
Sys_JiTfdloss_ref_500,0.14,0.36,0.8199999999999994
Sys_JiTfdloss_ref_500,0.14,0.38,0.8059999999999996
Sys_JiTfdloss_ref_500,0.14,0.4,0.7859999999999995
Sys_JiTfdloss_ref_500,0.14,0.42,0.7399999999999995
Sys_JiTfdloss_ref_500,0.14,0.44,0.7179999999999999
Sys_JiTfdloss_ref_500,0.14,0.46,0.6919999999999997
Sys_JiTfdloss_ref_500,0.14,0.48,0.6480000000000001
Sys_JiTfdloss_ref_500,0.14,0.5,0.634
Sys_JiTfdloss_ref_500,0.14,0.52,0.6040000000000001
Sys_JiTfdloss_ref_500,0.14,0.54,0.582
Sys_JiTfdloss_ref_500,0.14,0.56,0.57
Sys_JiTfdloss_ref_500,0.14,0.58,0.544
Sys_JiTfdloss_ref_500,0.14,0.6,0.508
Sys_JiTfdloss_ref_500,0.14,0.62,0.488
Sys_JiTfdloss_ref_500,0.14,0.64,0.4459999999999999
Sys_JiTfdloss_ref_500,0.14,0.66,0.4239999999999998
Sys_JiTfdloss_ref_500,0.14,0.68,0.3979999999999997
Sys_JiTfdloss_ref_500,0.14,0.7,0.3419999999999998
Sys_JiTfdloss_ref_500,0.14,0.72,0.3059999999999999
Sys_JiTfdloss_ref_500,0.14,0.74,0.25999999999999995
Sys_JiTfdloss_ref_500,0.14,0.76,0.20399999999999988
Sys_JiTfdloss_ref_500,0.14,0.78,0.16399999999999995
Sys_JiTfdloss_ref_500,0.14,0.8,0.13599999999999995
Sys_JiTfdloss_ref_500,0.14,0.82,0.11199999999999999
Sys_JiTfdloss_ref_500,0.14,0.84,0.08600000000000003
Sys_JiTfdloss_ref_500,0.14,0.86,0.07200000000000002
Sys_JiTfdloss_ref_500,0.14,0.88,0.06400000000000002
Sys_JiTfdloss_ref_500,0.14,0.9,0.058000000000000024
Sys_JiTfdloss_ref_500,0.14,0.92,0.04600000000000002
Sys_JiTfdloss_ref_500,0.14,0.94,0.04200000000000001
Sys_JiTfdloss_ref_500,0.14,0.96,0.038000000000000006
Sys_JiTfdloss_ref_500,0.14,0.98,0.030000000000000006
Sys_JiTfdloss_ref_500,0.14,1.0,0.006000000000000001
Sys_JiTfdloss_ref_500,0.16,0.0,0.9699999999999999
Sys_JiTfdloss_ref_500,0.16,0.02,0.9699999999999999
Sys_JiTfdloss_ref_500,0.16,0.04,0.9699999999999999
Sys_JiTfdloss_ref_500,0.16,0.06,0.9699999999999999
Sys_JiTfdloss_ref_500,0.16,0.08,0.9699999999999999
Sys_JiTfdloss_ref_500,0.16,0.1,0.9699999999999999
Sys_JiTfdloss_ref_500,0.16,0.12,0.9699999999999999
Sys_JiTfdloss_ref_500,0.16,0.14,0.9699999999999999
Sys_JiTfdloss_ref_500,0.16,0.16,0.9699999999999999
Sys_JiTfdloss_ref_500,0.16,0.18,0.968
Sys_JiTfdloss_ref_500,0.16,0.2,0.9619999999999999
Sys_JiTfdloss_ref_500,0.16,0.22,0.9619999999999999
Sys_JiTfdloss_ref_500,0.16,0.24,0.956
Sys_JiTfdloss_ref_500,0.16,0.26,0.9519999999999998
