img_id,all_correct_1,n_correct_1,n_atoms_1,ge2_gm,ge2_am,all_correct_2,n_correct_2,n_atoms_2,all_correct_3,n_correct_3,n_atoms_3
374,0,8,9,0.6421406368295457,0.8889902240804586,0,8,9,0,8,9
375,0,5,6,0.08577349551715589,0.8170162740182233,0,5,6,0,5,6
376,0,4,6,0.04561978619267625,0.6584486582900179,0,4,6,0,4,6
377,0,7,8,0.04030920074136843,0.6248367469564476,0,7,8,0,7,8
378,1,8,8,0.9998515542757456,0.9998516300879229,1,8,8,1,8,8
379,0,4,6,0.034503754307891675,0.47327687154157383,0,4,6,0,3,6
380,0,7,8,0.1045139616968546,0.8656001005967785,0,7,8,0,7,8
381,0,6,8,0.076927170628946,0.8593346355822913,0,6,8,0,6,8
382,0,2,6,5.060105593145511e-05,0.34154548098368065,0,2,6,0,2,6
383,0,6,8,0.1548763601870949,0.7583573602171587,0,5,8,0,5,8
384,0,5,7,0.07487435815704233,0.7331535943485802,0,5,7,0,5,7
385,0,7,8,0.1583492747248584,0.8748861340045639,0,7,8,0,7,8
386,0,6,8,0.2192557778627112,0.7296322853623947,0,6,8,0,6,8
387,0,6,8,0.08004579846510179,0.8749941983917741,0,6,8,0,7,8
388,0,5,8,0.36130123819466564,0.7437706926293433,0,5,8,0,5,8
389,0,4,8,0.009178176759427769,0.5018792086945316,0,4,8,0,4,8
390,0,7,8,0.0019490615981432031,0.5278391699256778,0,7,8,0,7,8
391,0,5,7,0.0007651794903658523,0.5714322344012809,0,5,7,0,4,7
392,0,3,6,0.0008558394765680987,0.5000027956213149,0,3,6,0,3,6
393,0,6,9,0.3289204978917038,0.8863554493826657,0,6,9,0,6,9
394,0,6,8,0.08315160190457191,0.5456285351231323,0,6,8,0,6,8
395,0,3,6,0.006329690310077694,0.6656847658998414,0,3,6,0,3,6
396,0,7,8,0.5776644451944667,0.8762156605867751,0,7,8,0,7,8
397,0,7,9,0.13249024036331758,0.7101241722374187,0,7,9,0,7,9
398,0,5,8,0.004949758932644668,0.506218554017696,0,5,8,0,5,8
399,0,5,7,0.8485688853560633,0.8802932459865714,0,5,7,0,5,7
400,0,6,8,0.030535173487423004,0.7173929884455233,0,6,8,0,6,8
401,0,7,10,0.06771039670049192,0.7060349090888511,0,7,10,0,7,10
402,0,4,8,7.242393068759682e-05,0.47215699587422844,0,4,8,0,4,8
403,0,6,10,0.01882071458354373,0.6853662292963877,0,6,10,0,6,10
404,1,8,8,0.4410865138774183,0.7739334870935591,1,8,8,1,8,8
405,0,5,8,0.001512273660429276,0.5336299731718558,0,5,8,0,5,8
406,0,3,7,0.0012478566633149354,0.5605860914916632,0,3,7,0,3,7
407,0,5,9,0.008056446097442044,0.6585817779518802,0,5,9,0,5,9
408,0,8,9,0.2596080843892983,0.8888893499795409,0,8,9,0,8,9
409,0,4,7,0.007783903637972806,0.5781809903003762,0,4,7,0,4,7
410,0,5,8,0.007299588439705608,0.6721985490000868,0,5,8,0,5,8
411,0,7,8,0.18392123434894025,0.8664010372067229,0,7,8,0,7,8
412,0,5,8,0.0012945071416750953,0.625011962414345,0,5,8,0,5,8
413,0,5,8,0.01666131378466579,0.5041639726480381,0,5,8,0,5,8
414,0,4,8,0.023490484960578588,0.7027103723844748,0,4,8,0,4,8
415,0,6,7,0.17246537465930617,0.8540612030102936,0,6,7,0,6,7
416,0,7,9,0.14723512231579503,0.7074577538534687,0,7,9,0,7,9
417,0,4,7,0.003995264213713492,0.7089534544970674,0,4,7,0,4,7
418,0,6,9,0.03208843561686377,0.679922310335965,0,6,9,0,6,9
419,0,6,8,0.09244321311740523,0.7499609373382712,0,6,8,0,5,8
420,0,3,8,0.0003352581812340093,0.3762336835951929,0,3,8,0,3,8
421,0,5,7,0.03886724124865382,0.706784506412128,0,5,7,0,5,7
422,0,6,7,0.09135162385506199,0.7461166560295921,0,6,7,0,6,7
423,0,6,9,0.06003348145603946,0.7843864489524817,0,6,9,0,6,9
424,0,5,8,0.0024427354396524886,0.6585222496989454,0,5,8,0,5,8
425,0,4,8,0.0013515860069126563,0.428102216359874,0,4,8,0,4,8
426,0,4,7,0.05830795112196062,0.5753897709988264,0,4,7,0,4,7
427,0,5,7,0.10878734048208404,0.7953482982194239,0,5,7,0,5,7
428,0,6,9,0.007202120683282013,0.6667455460381494,0,6,9,0,6,9
429,0,6,8,0.017505871977955775,0.7495868586217237,0,6,8,0,6,8
430,0,4,8,0.013067062533908403,0.3929911445444147,0,4,8,0,4,8
431,0,5,9,0.0005007062206493027,0.5555539109729405,0,5,9,0,5,9
432,0,4,8,0.00511249840814885,0.7161432176391755,0,4,8,0,4,8
433,0,7,9,0.11421831827564013,0.8804588412818705,0,7,9,0,7,9
434,0,7,8,0.24556798750325606,0.8278251614172815,0,7,8,0,7,8
