img_id,all_correct_1,n_correct_1,n_atoms_1,ge2_gm,ge2_am,all_correct_2,n_correct_2,n_atoms_2,all_correct_3,n_correct_3,n_atoms_3
120,0,4,5,0.9999881411950478,0.9999881412304706,0,4,5,0,4,5
121,0,3,5,0.2335715850271609,0.7964945231895746,0,3,5,0,3,5
122,0,4,5,0.03499257018574122,0.7973964913935255,0,4,5,0,4,5
123,1,7,7,0.5556573698003514,0.8110881068708463,1,7,7,1,7,7
124,0,5,6,0.012827734111554818,0.6648821796542638,0,5,6,0,5,6
125,1,5,5,0.12867135842036798,0.799539378687189,1,5,5,1,5,5
126,0,1,4,5.962762906439987e-07,0.2499817830630793,0,1,4,0,1,4
127,0,3,5,0.0006915786668071593,0.5997342348946246,0,3,5,0,3,5
128,0,3,5,0.00025831327271869233,0.5900919569898748,0,3,5,0,3,5
129,0,2,5,4.549617567797393e-07,0.39935736037491454,0,2,5,0,2,5
130,0,1,5,1.9318911288152015e-05,0.3968061293638878,0,2,5,0,2,5
131,0,1,5,3.98492043618731e-06,0.1959258726265812,0,1,5,0,1,5
132,0,4,5,0.003980995206420738,0.7999807844984996,0,4,5,0,4,5
133,0,4,5,0.003973376544955268,0.7980743464571741,0,4,5,0,4,5
134,0,4,5,0.11925936484951111,0.7986151053891671,0,4,5,0,4,5
135,0,4,5,0.11648163094248568,0.7999887002584497,0,4,5,0,4,5
136,0,3,5,0.000303129163401291,0.5998574130937949,0,3,5,0,3,5
137,0,2,4,0.0004122090204563738,0.5066132862470168,0,2,4,0,2,4
138,0,5,6,0.009490563027706683,0.7884328469557005,0,5,6,0,5,6
139,0,3,5,0.00037630312962089825,0.599696632481905,0,3,5,0,3,5
140,0,1,5,2.7644608029770136e-07,0.199961609568419,0,1,5,0,1,5
141,0,2,6,0.06390671298810982,0.6667427190964181,0,2,6,0,2,6
142,0,4,5,0.025985390099541424,0.7997792505202111,0,4,5,0,4,5
143,1,5,5,0.9997922524846006,0.9997922792116907,1,5,5,1,5,5
144,0,3,5,0.003901496552304624,0.7807898072447716,0,3,5,0,3,5
145,0,5,7,0.01735520064624726,0.7140032543484601,0,5,7,0,5,7
146,0,5,6,0.009993724543259377,0.8327063212160692,0,5,6,0,5,6
147,1,4,4,0.21581391574664277,0.7504831290011271,1,4,4,1,4,4
148,1,6,6,0.7792129266810993,0.8703856485611049,1,6,6,1,6,6
149,0,3,5,0.009084146327523105,0.5988470845463378,0,3,5,0,3,5
150,1,5,5,0.9989138379076312,0.9989154429945435,1,5,5,1,5,5
151,1,6,6,0.9997176179242674,0.9997176913194122,1,6,6,1,6,6
152,1,5,5,0.9959325792357283,0.9959574008568225,1,5,5,1,5,5
153,0,4,5,0.003980433922032261,0.7998398206227298,0,4,5,0,4,5
154,1,5,5,0.9876219488524226,0.9879216098570461,1,5,5,1,5,5
155,1,6,6,0.9999868909940709,0.9999868911047208,1,6,6,1,6,6
156,0,4,5,0.00398096668357179,0.7999736207633553,0,4,5,0,4,5
157,0,4,5,0.048555579249993375,0.7999540761411545,0,4,5,0,4,5
158,0,5,6,0.26904783598549276,0.8331208795537703,0,5,6,0,5,6
159,0,2,5,0.0010689713604303392,0.39315427110119944,0,2,5,0,2,5
160,0,4,5,0.10330980931256677,0.5470835493839934,0,4,5,0,4,5
161,0,2,5,6.11694834622729e-05,0.3995680485864451,0,2,5,0,2,5
162,1,5,5,0.12935655979295085,0.7808309335332803,1,5,5,1,5,5
163,0,2,5,7.82148231969633e-06,0.40558420483270197,0,2,5,0,2,5
164,0,3,6,0.0010477717621825092,0.6419440141798002,0,3,6,0,3,6
165,0,3,6,0.16010140498219194,0.6838714602370706,0,3,6,1,6,6
166,1,5,5,0.9999011798276685,0.9999011832999617,1,5,5,1,5,5
167,0,4,5,0.0002599956836857253,0.5522022600792059,0,4,5,0,4,5
168,1,6,6,0.8568676366756272,0.8902923893108126,1,6,6,1,6,6
169,1,6,6,0.9999650446358272,0.9999650454326311,1,6,6,1,6,6
170,0,4,5,0.08415717179319045,0.7999341978399956,0,4,5,0,4,5
171,1,6,6,0.9999488636368248,0.9999488687954209,1,6,6,1,6,6
172,1,6,6,0.9957066696487031,0.995741986347817,1,6,6,1,6,6
173,0,3,5,0.0035108978579698304,0.5999418122852933,0,3,5,0,3,5
174,0,5,6,0.009488695399931772,0.7882376995876003,0,5,6,0,5,6
175,0,4,5,0.09297179194933433,0.79955188139253,0,4,5,0,4,5
176,0,2,4,0.001868861935339062,0.4999031548951903,0,2,4,0,2,4
177,1,7,7,0.9989915332350093,0.9989942521712954,1,7,7,1,7,7
178,1,5,5,0.9989048064552764,0.9989059687476857,1,5,5,1,5,5
179,0,4,5,0.10272289449272477,0.7999721077279679,0,4,5,0,4,5
180,0,3,5,0.0034303859584369966,0.5999721634774831,0,3,5,0,3,5
181,0,5,6,0.9995514591638105,0.9995518708140723,0,5,6,1,6,6
182,0,2,4,5.233878050410752e-05,0.4352184947938371,0,2,4,0,2,4
183,1,6,6,0.9936352547852974,0.9937339967795117,1,6,6,1,6,6
184,0,5,6,0.020730060757189937,0.6666973548904566,0,5,6,0,5,6
185,0,3,5,0.014992831578753762,0.6001701508702705,0,3,5,0,3,5
186,1,6,6,0.9994303076233175,0.9994310529650622,1,6,6,1,6,6
187,1,5,5,0.9999767517689413,0.9999767519250572,1,5,5,1,5,5
