group,alignment_threshold,artifact_threshold,probability
Sys_IMF_ref_500,0.04,0.12,0.9739999999999998
Sys_IMF_ref_500,0.04,0.14,0.9739999999999998
Sys_IMF_ref_500,0.04,0.16,0.9739999999999998
Sys_IMF_ref_500,0.04,0.18,0.9739999999999998
Sys_IMF_ref_500,0.04,0.2,0.9594999999999996
Sys_IMF_ref_500,0.04,0.22,0.9554999999999997
Sys_IMF_ref_500,0.04,0.24,0.9469999999999998
Sys_IMF_ref_500,0.04,0.26,0.9369999999999998
Sys_IMF_ref_500,0.04,0.28,0.9149999999999998
Sys_IMF_ref_500,0.04,0.3,0.8949999999999997
Sys_IMF_ref_500,0.04,0.32,0.7689999999999998
Sys_IMF_ref_500,0.04,0.34,0.7469999999999998
Sys_IMF_ref_500,0.04,0.36,0.7289999999999998
Sys_IMF_ref_500,0.04,0.38,0.7104999999999997
Sys_IMF_ref_500,0.04,0.4,0.6684999999999998
Sys_IMF_ref_500,0.04,0.42,0.6484999999999999
Sys_IMF_ref_500,0.04,0.44,0.6284999999999998
Sys_IMF_ref_500,0.04,0.46,0.5904999999999998
Sys_IMF_ref_500,0.04,0.48,0.5659999999999998
Sys_IMF_ref_500,0.04,0.5,0.5539999999999998
Sys_IMF_ref_500,0.04,0.52,0.5399999999999998
Sys_IMF_ref_500,0.04,0.54,0.5079999999999998
Sys_IMF_ref_500,0.04,0.56,0.4759999999999998
Sys_IMF_ref_500,0.04,0.58,0.43999999999999984
Sys_IMF_ref_500,0.04,0.6,0.39999999999999986
Sys_IMF_ref_500,0.04,0.62,0.36999999999999994
Sys_IMF_ref_500,0.04,0.64,0.3439999999999999
Sys_IMF_ref_500,0.04,0.66,0.31999999999999995
Sys_IMF_ref_500,0.04,0.68,0.2879999999999999
Sys_IMF_ref_500,0.04,0.7,0.24599999999999989
Sys_IMF_ref_500,0.04,0.72,0.21799999999999986
Sys_IMF_ref_500,0.04,0.74,0.16999999999999996
Sys_IMF_ref_500,0.04,0.76,0.12000000000000004
Sys_IMF_ref_500,0.04,0.78,0.094
Sys_IMF_ref_500,0.04,0.8,0.084
Sys_IMF_ref_500,0.04,0.82,0.06600000000000002
Sys_IMF_ref_500,0.04,0.84,0.05000000000000002
Sys_IMF_ref_500,0.04,0.86,0.04600000000000001
Sys_IMF_ref_500,0.04,0.88,0.042
Sys_IMF_ref_500,0.04,0.9,0.042
Sys_IMF_ref_500,0.04,0.92,0.03
Sys_IMF_ref_500,0.04,0.94,0.019999999999999997
Sys_IMF_ref_500,0.04,0.96,0.018
Sys_IMF_ref_500,0.04,0.98,0.012
Sys_IMF_ref_500,0.04,1.0,0.0
Sys_IMF_ref_500,0.06,0.0,0.9779999999999999
Sys_IMF_ref_500,0.06,0.02,0.9779999999999999
Sys_IMF_ref_500,0.06,0.04,0.9779999999999999
Sys_IMF_ref_500,0.06,0.06,0.9779999999999999
Sys_IMF_ref_500,0.06,0.08,0.9759999999999998
Sys_IMF_ref_500,0.06,0.1,0.9759999999999998
Sys_IMF_ref_500,0.06,0.12,0.9739999999999998
Sys_IMF_ref_500,0.06,0.14,0.9739999999999998
Sys_IMF_ref_500,0.06,0.16,0.9739999999999998
Sys_IMF_ref_500,0.06,0.18,0.9739999999999998
Sys_IMF_ref_500,0.06,0.2,0.9594999999999996
Sys_IMF_ref_500,0.06,0.22,0.9554999999999997
Sys_IMF_ref_500,0.06,0.24,0.9469999999999998
Sys_IMF_ref_500,0.06,0.26,0.9369999999999998
Sys_IMF_ref_500,0.06,0.28,0.9149999999999998
Sys_IMF_ref_500,0.06,0.3,0.8949999999999997
Sys_IMF_ref_500,0.06,0.32,0.7689999999999998
Sys_IMF_ref_500,0.06,0.34,0.7469999999999998
Sys_IMF_ref_500,0.06,0.36,0.7289999999999998
Sys_IMF_ref_500,0.06,0.38,0.7104999999999997
Sys_IMF_ref_500,0.06,0.4,0.6684999999999998
Sys_IMF_ref_500,0.06,0.42,0.6484999999999999
Sys_IMF_ref_500,0.06,0.44,0.6284999999999998
Sys_IMF_ref_500,0.06,0.46,0.5904999999999998
Sys_IMF_ref_500,0.06,0.48,0.5659999999999998
Sys_IMF_ref_500,0.06,0.5,0.5539999999999998
Sys_IMF_ref_500,0.06,0.52,0.5399999999999998
Sys_IMF_ref_500,0.06,0.54,0.5079999999999998
Sys_IMF_ref_500,0.06,0.56,0.4759999999999998
Sys_IMF_ref_500,0.06,0.58,0.43999999999999984
Sys_IMF_ref_500,0.06,0.6,0.39999999999999986
Sys_IMF_ref_500,0.06,0.62,0.36999999999999994
Sys_IMF_ref_500,0.06,0.64,0.3439999999999999
Sys_IMF_ref_500,0.06,0.66,0.31999999999999995
Sys_IMF_ref_500,0.06,0.68,0.2879999999999999
Sys_IMF_ref_500,0.06,0.7,0.24599999999999989
Sys_IMF_ref_500,0.06,0.72,0.21799999999999986
Sys_IMF_ref_500,0.06,0.74,0.16999999999999996
Sys_IMF_ref_500,0.06,0.76,0.12000000000000004
Sys_IMF_ref_500,0.06,0.78,0.094
Sys_IMF_ref_500,0.06,0.8,0.084
Sys_IMF_ref_500,0.06,0.82,0.06600000000000002
Sys_IMF_ref_500,0.06,0.84,0.05000000000000002
Sys_IMF_ref_500,0.06,0.86,0.04600000000000001
Sys_IMF_ref_500,0.06,0.88,0.042
Sys_IMF_ref_500,0.06,0.9,0.042
Sys_IMF_ref_500,0.06,0.92,0.03
Sys_IMF_ref_500,0.06,0.94,0.019999999999999997
Sys_IMF_ref_500,0.06,0.96,0.018
Sys_IMF_ref_500,0.06,0.98,0.012
Sys_IMF_ref_500,0.06,1.0,0.0
Sys_IMF_ref_500,0.08,0.0,0.9754999999999998
Sys_IMF_ref_500,0.08,0.02,0.9754999999999998
Sys_IMF_ref_500,0.08,0.04,0.9754999999999998
Sys_IMF_ref_500,0.08,0.06,0.9754999999999998
Sys_IMF_ref_500,0.08,0.08,0.9734999999999998
Sys_IMF_ref_500,0.08,0.1,0.9734999999999998
Sys_IMF_ref_500,0.08,0.12,0.9714999999999998
Sys_IMF_ref_500,0.08,0.14,0.9714999999999998
Sys_IMF_ref_500,0.08,0.16,0.9714999999999998
Sys_IMF_ref_500,0.08,0.18,0.9714999999999998
Sys_IMF_ref_500,0.08,0.2,0.9594999999999996
Sys_IMF_ref_500,0.08,0.22,0.9554999999999997
Sys_IMF_ref_500,0.08,0.24,0.9469999999999998
Sys_IMF_ref_500,0.08,0.26,0.9369999999999998
Sys_IMF_ref_500,0.08,0.28,0.9149999999999998
Sys_IMF_ref_500,0.08,0.3,0.8949999999999997
Sys_IMF_ref_500,0.08,0.32,0.7689999999999998
Sys_IMF_ref_500,0.08,0.34,0.7469999999999998
