source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_VAR_ref_400_3,25,0.88,0.74,0.65,0.77
Sys_VAR_ref_400_3,35,0.6,0.74,0.44,0.63
Sys_VAR_ref_400_3,39,0.81,0.67,0.56,0.7
Sys_VAR_ref_400_3,49,0.82,0.9,0.74,0.85
Sys_VAR_ref_400_3,51,0.94,0.88,0.82,0.9
Sys_VAR_ref_400_3,52,0.79,0.8,0.65,0.79
Sys_VAR_ref_400_3,64,0.59,0.68,0.42,0.62
Sys_VAR_ref_400_3,80,0.86,0.49,0.43,0.61
Sys_VAR_ref_400_3,97,0.81,0.83,0.72,0.82
Sys_VAR_ref_400_3,106,0.96,0.8,0.77,0.87
Sys_VAR_ref_400_3,116,0.98,0.88,0.86,0.92
Sys_VAR_ref_400_3,118,0.71,0.55,0.41,0.61
Sys_VAR_ref_400_3,129,0.85,0.48,0.4,0.59
Sys_VAR_ref_400_3,144,0.82,0.65,0.53,0.71
Sys_VAR_ref_400_3,147,0.96,0.69,0.66,0.79
Sys_VAR_ref_400_3,150,0.89,0.43,0.38,0.57
Sys_VAR_ref_400_3,156,0.93,0.44,0.41,0.58
Sys_VAR_ref_400_3,159,0.74,0.43,0.33,0.53
Sys_VAR_ref_400_3,281,0.86,0.3,0.26,0.44
Sys_VAR_ref_400_3,300,0.85,0.78,0.73,0.81
Sys_VAR_ref_400_3,322,0.79,0.72,0.6,0.73
Sys_VAR_ref_400_3,330,0.79,0.64,0.52,0.69
Sys_VAR_ref_400_3,333,0.72,0.3,0.22,0.42
Sys_VAR_ref_400_3,339,0.65,0.58,0.47,0.61
Sys_VAR_ref_400_3,347,0.79,0.68,0.56,0.72
Sys_VAR_ref_400_3,356,0.95,0.53,0.51,0.67
Sys_VAR_ref_400_3,365,0.68,0.39,0.29,0.44
Sys_VAR_ref_400_3,370,0.9,0.48,0.44,0.62
Sys_VAR_ref_400_3,389,0.35,0.38,0.13,0.35
Sys_VAR_ref_400_3,392,0.8,0.59,0.5,0.67
Sys_VAR_ref_400_3,394,0.78,0.65,0.56,0.7
Sys_VAR_ref_400_3,396,0.89,0.68,0.6,0.77
Sys_VAR_ref_400_3,400,0.97,0.54,0.52,0.66
Sys_VAR_ref_400_3,405,0.59,0.55,0.32,0.55
Sys_VAR_ref_400_3,406,0.78,0.65,0.55,0.69
Sys_VAR_ref_400_3,413,0.92,0.65,0.61,0.74
Sys_VAR_ref_400_3,415,0.43,0.52,0.21,0.35
Sys_VAR_ref_400_3,419,0.79,0.54,0.45,0.6
Sys_VAR_ref_400_3,421,0.58,0.35,0.2,0.42
Sys_VAR_ref_400_3,426,0.52,0.34,0.18,0.41
Sys_VAR_ref_400_3,429,0.72,0.62,0.5,0.66
Sys_VAR_ref_400_3,432,0.8,0.6,0.53,0.65
Sys_VAR_ref_400_3,443,0.77,0.66,0.53,0.69
Sys_VAR_ref_400_3,446,0.54,0.41,0.2,0.37
Sys_VAR_ref_400_3,453,0.91,0.58,0.53,0.71
Sys_VAR_ref_400_3,461,0.58,0.69,0.41,0.61
Sys_VAR_ref_400_3,477,0.68,0.39,0.28,0.5
Sys_VAR_ref_400_3,479,0.93,0.77,0.72,0.84
Sys_VAR_ref_400_3,481,0.51,0.43,0.27,0.46
Sys_VAR_ref_400_3,488,0.89,0.73,0.66,0.8
Sys_VAR_ref_400_3,499,0.45,0.47,0.3,0.39
Sys_VAR_ref_400_3,529,0.82,0.5,0.42,0.61
Sys_VAR_ref_400_3,535,0.91,0.83,0.76,0.87
Sys_VAR_ref_400_3,554,0.98,0.44,0.43,0.59
Sys_VAR_ref_400_3,567,0.9,0.7,0.64,0.77
Sys_VAR_ref_400_3,575,0.84,0.55,0.47,0.65
Sys_VAR_ref_400_3,585,0.38,0.34,0.14,0.3
Sys_VAR_ref_400_3,590,0.71,0.48,0.38,0.57
Sys_VAR_ref_400_3,605,0.87,0.67,0.6,0.76
Sys_VAR_ref_400_3,606,0.59,0.48,0.35,0.49
Sys_VAR_ref_400_3,626,0.65,0.53,0.4,0.54
Sys_VAR_ref_400_3,632,0.72,0.62,0.5,0.61
Sys_VAR_ref_400_3,633,0.48,0.4,0.2,0.41
Sys_VAR_ref_400_3,634,0.34,0.41,0.13,0.34
Sys_VAR_ref_400_3,645,0.88,0.3,0.26,0.45
Sys_VAR_ref_400_3,654,0.9,0.62,0.56,0.73
Sys_VAR_ref_400_3,679,0.77,0.7,0.57,0.72
Sys_VAR_ref_400_3,687,0.89,0.71,0.65,0.79
Sys_VAR_ref_400_3,730,0.56,0.43,0.3,0.46
Sys_VAR_ref_400_3,743,0.72,0.58,0.39,0.59
Sys_VAR_ref_400_3,746,0.63,0.43,0.29,0.45
Sys_VAR_ref_400_3,755,0.9,0.7,0.64,0.79
Sys_VAR_ref_400_3,756,0.86,0.66,0.57,0.74
Sys_VAR_ref_400_3,806,0.95,0.87,0.82,0.9
Sys_VAR_ref_400_3,810,0.76,0.63,0.52,0.69
Sys_VAR_ref_400_3,819,0.71,0.38,0.29,0.49
Sys_VAR_ref_400_3,836,0.05,0.57,0.04,0.08
Sys_VAR_ref_400_3,903,0.71,0.53,0.41,0.6
Sys_VAR_ref_400_3,917,0.8,0.52,0.42,0.62
Sys_VAR_ref_400_3,919,0.42,0.24,0.1,0.3
Sys_VAR_ref_400_3,920,0.91,0.66,0.6,0.75
Sys_VAR_ref_400_3,922,0.31,0.29,0.14,0.28
Sys_VAR_ref_400_3,928,0.94,0.61,0.57,0.74
Sys_VAR_ref_400_3,931,0.84,0.76,0.66,0.79
Sys_VAR_ref_400_3,943,0.92,0.86,0.8,0.89
Sys_VAR_ref_400_3,952,0.94,0.85,0.8,0.89
Sys_VAR_ref_400_3,960,0.82,0.69,0.6,0.75
Sys_VAR_ref_400_3,962,0.85,0.74,0.62,0.78
Sys_VAR_ref_400_3,968,0.92,0.71,0.65,0.8
Sys_VAR_ref_400_3,971,0.7,0.46,0.35,0.55
Sys_VAR_ref_400_3,972,0.8,0.64,0.51,0.69
Sys_VAR_ref_400_3,981,0.76,0.28,0.22,0.41
Sys_VAR_ref_400_3,982,0.52,0.41,0.25,0.45
Sys_VAR_ref_400_3,983,0.82,0.48,0.41,0.59
Sys_VAR_ref_400_3,985,0.68,0.79,0.52,0.7
Sys_VAR_ref_400_3,991,0.88,0.81,0.72,0.84
Sys_VAR_ref_400_3,999,0.62,0.43,0.32,0.5
User_VAR_400_1,4,1.0,0.6,0.6,0.75
User_VAR_400_1,7,0.93,0.65,0.61,0.75
User_VAR_400_1,10,0.87,0.6,0.52,0.68
User_VAR_400_1,25,0.91,0.8,0.74,0.85
User_VAR_400_1,35,0.64,0.8,0.51,0.62
User_VAR_400_1,39,0.9,0.65,0.58,0.73
User_VAR_400_1,49,0.96,0.75,0.74,0.83
User_VAR_400_1,51,0.91,0.75,0.71,0.81
User_VAR_400_1,52,0.93,0.8,0.74,0.85
User_VAR_400_1,64,0.77,0.65,0.49,0.68
User_VAR_400_1,80,0.93,0.65,0.61,0.76
User_VAR_400_1,97,0.88,0.85,0.75,0.85
User_VAR_400_1,106,1.0,0.8,0.8,0.87
User_VAR_400_1,116,1.0,0.85,0.85,0.92
User_VAR_400_1,118,0.9,0.5,0.46,0.64
User_VAR_400_1,129,0.84,0.6,0.52,0.7
User_VAR_400_1,144,0.88,0.65,0.58,0.74
User_VAR_400_1,147,1.0,0.75,0.75,0.85
User_VAR_400_1,150,0.85,0.5,0.42,0.62
