source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_JiTfdloss_ref_2,922,0.63,0.42,0.27,0.5
Sys_JiTfdloss_ref_2,928,0.87,0.68,0.59,0.76
Sys_JiTfdloss_ref_2,931,0.97,0.78,0.76,0.85
Sys_JiTfdloss_ref_2,943,0.74,0.68,0.45,0.58
Sys_JiTfdloss_ref_2,952,0.98,0.86,0.84,0.91
Sys_JiTfdloss_ref_2,960,0.81,0.7,0.59,0.73
Sys_JiTfdloss_ref_2,962,0.95,0.66,0.63,0.77
Sys_JiTfdloss_ref_2,968,0.85,0.75,0.66,0.8
Sys_JiTfdloss_ref_2,971,0.93,0.72,0.67,0.81
Sys_JiTfdloss_ref_2,972,0.83,0.7,0.62,0.75
Sys_JiTfdloss_ref_2,981,0.74,0.45,0.34,0.55
Sys_JiTfdloss_ref_2,982,0.52,0.46,0.21,0.37
Sys_JiTfdloss_ref_2,983,0.78,0.43,0.35,0.55
Sys_JiTfdloss_ref_2,985,0.74,0.74,0.54,0.73
Sys_JiTfdloss_ref_2,991,0.87,0.72,0.64,0.79
Sys_JiTfdloss_ref_2,999,0.64,0.47,0.36,0.54
Sys_JiTfdloss_ref_3,4,0.94,0.65,0.6,0.75
Sys_JiTfdloss_ref_3,7,0.89,0.49,0.46,0.61
Sys_JiTfdloss_ref_3,10,0.95,0.73,0.7,0.8
Sys_JiTfdloss_ref_3,25,0.89,0.68,0.61,0.75
Sys_JiTfdloss_ref_3,35,0.84,0.72,0.62,0.77
Sys_JiTfdloss_ref_3,39,0.88,0.67,0.61,0.74
Sys_JiTfdloss_ref_3,49,0.88,0.68,0.63,0.76
Sys_JiTfdloss_ref_3,51,0.69,0.76,0.56,0.72
Sys_JiTfdloss_ref_3,52,0.72,0.86,0.62,0.75
Sys_JiTfdloss_ref_3,64,0.69,0.63,0.5,0.65
Sys_JiTfdloss_ref_3,80,0.81,0.52,0.45,0.62
Sys_JiTfdloss_ref_3,97,0.97,0.54,0.53,0.65
Sys_JiTfdloss_ref_3,106,0.9,0.41,0.37,0.55
Sys_JiTfdloss_ref_3,116,0.98,0.93,0.91,0.95
Sys_JiTfdloss_ref_3,118,0.82,0.6,0.5,0.69
Sys_JiTfdloss_ref_3,129,0.71,0.47,0.36,0.54
Sys_JiTfdloss_ref_3,144,0.82,0.39,0.33,0.52
Sys_JiTfdloss_ref_3,147,0.93,0.74,0.69,0.82
Sys_JiTfdloss_ref_3,150,0.84,0.48,0.41,0.6
Sys_JiTfdloss_ref_3,156,0.94,0.45,0.42,0.59
Sys_JiTfdloss_ref_3,159,0.69,0.38,0.27,0.48
Sys_JiTfdloss_ref_3,281,0.95,0.38,0.36,0.53
Sys_JiTfdloss_ref_3,300,0.91,0.88,0.84,0.89
Sys_JiTfdloss_ref_3,322,0.86,0.64,0.57,0.73
Sys_JiTfdloss_ref_3,330,0.76,0.52,0.41,0.6
Sys_JiTfdloss_ref_3,333,0.9,0.37,0.33,0.52
Sys_JiTfdloss_ref_3,339,0.69,0.5,0.4,0.57
Sys_JiTfdloss_ref_3,347,0.92,0.67,0.63,0.77
Sys_JiTfdloss_ref_3,356,0.87,0.57,0.5,0.67
Sys_JiTfdloss_ref_3,365,0.9,0.39,0.35,0.52
Sys_JiTfdloss_ref_3,370,0.79,0.56,0.49,0.64
Sys_JiTfdloss_ref_3,389,0.31,0.53,0.2,0.37
Sys_JiTfdloss_ref_3,392,0.81,0.72,0.57,0.71
Sys_JiTfdloss_ref_3,394,0.9,0.66,0.6,0.75
Sys_JiTfdloss_ref_3,396,0.96,0.81,0.78,0.87
Sys_JiTfdloss_ref_3,400,0.85,0.59,0.53,0.67
Sys_JiTfdloss_ref_3,405,0.66,0.68,0.5,0.66
Sys_JiTfdloss_ref_3,406,0.84,0.71,0.6,0.75
Sys_JiTfdloss_ref_3,413,0.62,0.38,0.29,0.44
Sys_JiTfdloss_ref_3,415,0.81,0.5,0.42,0.61
Sys_JiTfdloss_ref_3,419,0.84,0.6,0.55,0.69
Sys_JiTfdloss_ref_3,421,0.88,0.72,0.64,0.78
Sys_JiTfdloss_ref_3,426,0.64,0.54,0.35,0.57
Sys_JiTfdloss_ref_3,429,0.98,0.85,0.84,0.91
Sys_JiTfdloss_ref_3,432,0.9,0.49,0.43,0.61
Sys_JiTfdloss_ref_3,443,0.92,0.79,0.74,0.85
Sys_JiTfdloss_ref_3,446,0.78,0.49,0.4,0.6
Sys_JiTfdloss_ref_3,453,0.8,0.65,0.52,0.7
Sys_JiTfdloss_ref_3,461,0.97,0.68,0.66,0.79
Sys_JiTfdloss_ref_3,477,0.73,0.58,0.44,0.64
Sys_JiTfdloss_ref_3,479,0.81,0.64,0.53,0.71
Sys_JiTfdloss_ref_3,481,0.74,0.51,0.36,0.57
Sys_JiTfdloss_ref_3,488,0.91,0.85,0.77,0.87
Sys_JiTfdloss_ref_3,499,0.77,0.49,0.42,0.55
Sys_JiTfdloss_ref_3,529,0.75,0.32,0.24,0.45
Sys_JiTfdloss_ref_3,535,0.78,0.64,0.49,0.68
Sys_JiTfdloss_ref_3,554,0.72,0.44,0.31,0.51
Sys_JiTfdloss_ref_3,567,0.94,0.61,0.58,0.73
Sys_JiTfdloss_ref_3,575,0.93,0.65,0.61,0.75
Sys_JiTfdloss_ref_3,585,0.03,0.41,0.01,0.05
Sys_JiTfdloss_ref_3,590,0.69,0.5,0.35,0.58
Sys_JiTfdloss_ref_3,605,0.72,0.52,0.39,0.59
Sys_JiTfdloss_ref_3,606,0.79,0.69,0.55,0.73
Sys_JiTfdloss_ref_3,626,0.6,0.42,0.29,0.48
Sys_JiTfdloss_ref_3,632,0.92,0.68,0.63,0.78
Sys_JiTfdloss_ref_3,633,0.79,0.58,0.5,0.67
Sys_JiTfdloss_ref_3,634,0.81,0.59,0.48,0.66
Sys_JiTfdloss_ref_3,645,0.78,0.5,0.39,0.57
Sys_JiTfdloss_ref_3,654,0.96,0.48,0.46,0.63
Sys_JiTfdloss_ref_3,679,0.8,0.68,0.58,0.73
Sys_JiTfdloss_ref_3,687,0.98,0.87,0.85,0.92
Sys_JiTfdloss_ref_3,730,0.83,0.61,0.53,0.7
Sys_JiTfdloss_ref_3,743,0.83,0.66,0.56,0.72
Sys_JiTfdloss_ref_3,746,0.54,0.53,0.32,0.5
Sys_JiTfdloss_ref_3,755,0.94,0.77,0.73,0.84
Sys_JiTfdloss_ref_3,756,0.6,0.58,0.37,0.56
Sys_JiTfdloss_ref_3,806,0.88,0.66,0.59,0.73
Sys_JiTfdloss_ref_3,810,0.69,0.54,0.44,0.6
Sys_JiTfdloss_ref_3,819,0.85,0.46,0.4,0.59
Sys_JiTfdloss_ref_3,836,0.07,0.57,0.06,0.11
Sys_JiTfdloss_ref_3,903,0.74,0.44,0.34,0.54
Sys_JiTfdloss_ref_3,917,0.51,0.41,0.2,0.41
Sys_JiTfdloss_ref_3,919,0.33,0.25,0.09,0.27
Sys_JiTfdloss_ref_3,920,0.78,0.54,0.45,0.62
Sys_JiTfdloss_ref_3,922,0.66,0.45,0.31,0.53
Sys_JiTfdloss_ref_3,928,0.89,0.64,0.58,0.73
Sys_JiTfdloss_ref_3,931,0.98,0.71,0.7,0.8
Sys_JiTfdloss_ref_3,943,0.74,0.6,0.42,0.56
Sys_JiTfdloss_ref_3,952,0.94,0.82,0.79,0.86
Sys_JiTfdloss_ref_3,960,0.89,0.54,0.5,0.66
Sys_JiTfdloss_ref_3,962,0.94,0.63,0.59,0.73
Sys_JiTfdloss_ref_3,968,0.89,0.79,0.71,0.84
Sys_JiTfdloss_ref_3,971,0.92,0.8,0.74,0.85
Sys_JiTfdloss_ref_3,972,0.89,0.61,0.56,0.72
Sys_JiTfdloss_ref_3,981,0.68,0.39,0.27,0.49
Sys_JiTfdloss_ref_3,982,0.56,0.36,0.23,0.39
Sys_JiTfdloss_ref_3,983,0.78,0.44,0.36,0.57
Sys_JiTfdloss_ref_3,985,0.68,0.84,0.6,0.74
Sys_JiTfdloss_ref_3,991,0.9,0.72,0.66,0.8
Sys_JiTfdloss_ref_3,999,0.55,0.44,0.29,0.46
User_JiTfdloss_1,4,0.98,0.72,0.71,0.82
User_JiTfdloss_1,7,0.91,0.64,0.59,0.74
User_JiTfdloss_1,10,0.91,0.92,0.84,0.91
User_JiTfdloss_1,25,1.0,0.8,0.8,0.88
User_JiTfdloss_1,35,0.86,0.76,0.66,0.79
User_JiTfdloss_1,39,0.95,0.76,0.73,0.83
User_JiTfdloss_1,49,0.97,0.68,0.67,0.79
User_JiTfdloss_1,51,0.71,0.88,0.66,0.77
User_JiTfdloss_1,52,0.64,0.68,0.47,0.65
User_JiTfdloss_1,64,0.84,0.8,0.7,0.81
User_JiTfdloss_1,80,0.92,0.6,0.57,0.72
User_JiTfdloss_1,97,1.0,0.8,0.8,0.88
User_JiTfdloss_1,106,1.0,0.64,0.64,0.77
User_JiTfdloss_1,116,1.0,0.96,0.96,0.98
User_JiTfdloss_1,118,0.75,0.68,0.54,0.7
User_JiTfdloss_1,129,0.63,0.64,0.43,0.63
User_JiTfdloss_1,144,0.93,0.56,0.52,0.69
User_JiTfdloss_1,147,1.0,0.93,0.93,0.96
User_JiTfdloss_1,159,0.83,0.4,0.33,0.54
User_JiTfdloss_1,281,1.0,0.64,0.64,0.77
User_JiTfdloss_1,300,0.8,0.92,0.76,0.78
User_JiTfdloss_1,322,0.94,0.84,0.79,0.88
User_JiTfdloss_1,330,0.81,0.6,0.51,0.66
User_JiTfdloss_1,333,0.97,0.56,0.54,0.7
User_JiTfdloss_1,339,0.73,0.48,0.4,0.57
User_JiTfdloss_1,347,0.98,0.76,0.74,0.85
User_JiTfdloss_1,356,0.82,0.64,0.53,0.71
User_JiTfdloss_1,365,0.85,0.6,0.51,0.69
User_JiTfdloss_1,370,0.93,0.68,0.63,0.77
User_JiTfdloss_1,389,0.36,0.6,0.24,0.42
User_JiTfdloss_1,392,0.94,0.72,0.67,0.8
User_JiTfdloss_1,394,0.85,0.72,0.65,0.77
User_JiTfdloss_1,396,0.97,0.84,0.82,0.89
User_JiTfdloss_1,400,0.85,0.44,0.39,0.57
User_JiTfdloss_1,405,0.78,0.68,0.52,0.66
User_JiTfdloss_1,406,0.78,0.52,0.43,0.62
User_JiTfdloss_1,413,0.76,0.52,0.46,0.61
User_JiTfdloss_1,415,0.77,0.64,0.5,0.69
User_JiTfdloss_1,419,0.98,0.56,0.54,0.68
User_JiTfdloss_1,421,0.91,0.68,0.62,0.77
