class_id,batch_idx,num_images,vendi_score
80,6,50,5.26755952835083
80,7,50,4.1613383293151855
80,8,50,5.327590465545654
80,9,50,8.85194206237793
80,10,50,5.772970199584961
80,11,50,6.669406414031982
80,12,50,6.319103240966797
80,13,50,5.373868942260742
80,14,50,6.662729263305664
80,15,50,5.703838348388672
80,16,50,7.44038200378418
80,17,50,7.30659294128418
80,18,50,6.739101886749268
80,19,50,6.81168270111084
80,20,50,6.768014907836914
80,21,50,5.763603687286377
80,22,50,6.938940048217773
80,23,50,7.405433177947998
80,24,50,6.720875263214111
80,25,50,4.422041416168213
97,0,50,8.721121788024902
97,1,50,7.523956775665283
97,2,50,9.130318641662598
97,3,50,9.933365821838379
97,4,50,9.368708610534668
97,5,50,9.789273262023926
97,6,50,9.2843017578125
97,7,50,10.02375316619873
97,8,50,8.159089088439941
97,9,50,9.927513122558594
97,10,50,10.050830841064453
97,11,50,11.237688064575195
97,12,50,10.302722930908203
97,13,50,9.998594284057617
97,14,50,9.017443656921387
97,15,50,10.322149276733398
97,16,50,7.772902965545654
97,17,50,9.217494010925293
97,18,50,9.671343803405762
97,19,50,9.798687934875488
97,20,50,8.945691108703613
97,21,50,7.611554145812988
97,22,50,10.061782836914062
97,23,50,9.24527645111084
97,24,50,10.297808647155762
97,25,50,8.023198127746582
106,0,50,11.922056198120117
106,1,50,13.485447883605957
106,2,50,10.324688911437988
106,3,50,12.262277603149414
106,4,50,9.74268913269043
106,5,50,12.077154159545898
106,6,50,12.851645469665527
106,7,50,11.318013191223145
106,8,50,13.04320240020752
106,9,50,13.241670608520508
106,10,50,10.781235694885254
106,11,50,11.995712280273438
106,12,50,11.935881614685059
106,13,50,11.517692565917969
106,14,50,11.098321914672852
106,15,50,11.887605667114258
106,16,50,11.018016815185547
106,17,50,11.170159339904785
106,18,50,10.717385292053223
106,19,50,12.33460807800293
106,20,50,12.906903266906738
106,21,50,15.206002235412598
106,22,50,13.33946704864502
106,23,50,11.863645553588867
106,24,50,10.340624809265137
106,25,50,9.90188217163086
116,0,50,7.588878631591797
116,1,50,6.239225387573242
116,2,50,5.587954044342041
116,3,50,6.7599310874938965
116,4,50,6.055530548095703
116,5,50,6.074339866638184
116,6,50,8.984058380126953
116,7,50,6.518874168395996
116,8,50,7.712371349334717
116,9,50,6.095518112182617
116,10,50,6.461190223693848
116,11,50,5.7921552658081055
116,12,50,7.313924789428711
116,13,50,7.418368339538574
116,14,50,6.036879062652588
116,15,50,6.566694736480713
116,16,50,6.741744518280029
116,17,50,5.626813888549805
116,18,50,6.470058441162109
116,19,50,7.417593479156494
116,20,50,5.732797145843506
116,21,50,5.686647891998291
116,22,50,6.824197292327881
116,23,50,5.016085624694824
116,24,50,6.881750583648682
116,25,50,6.408109664916992
118,0,50,10.334417343139648
118,1,50,10.034257888793945
118,2,50,10.617008209228516
118,3,50,10.922173500061035
118,4,50,10.821561813354492
118,5,50,12.738313674926758
118,6,50,10.503762245178223
118,7,50,9.184225082397461
118,8,50,12.128076553344727
118,9,50,8.429356575012207
118,10,50,10.57501220703125
118,11,50,10.500227928161621
118,12,50,10.785988807678223
118,13,50,9.192117691040039
118,14,50,9.074234962463379
118,15,50,11.04903793334961
118,16,50,9.656159400939941
118,17,50,12.19025993347168
118,18,50,8.225961685180664
118,19,50,12.407536506652832
118,20,50,9.986034393310547
118,21,50,8.372933387756348
118,22,50,9.692154884338379
118,23,50,7.924444675445557
118,24,50,9.646736145019531
118,25,50,10.437472343444824
129,0,50,5.881089210510254
129,1,50,6.669267654418945
129,2,50,6.976719379425049
129,3,50,5.271699905395508
129,4,50,5.664580821990967
129,5,50,5.798019886016846
129,6,50,7.049559116363525
129,7,50,6.725191116333008
129,8,50,5.589508533477783
129,9,50,5.14107084274292
129,10,50,6.628945350646973
129,11,50,5.64107608795166
129,12,50,6.800752639770508
129,13,50,6.977196216583252
129,14,50,6.632059097290039
129,15,50,5.453670501708984
129,16,50,5.400883674621582
129,17,50,5.574406147003174
129,18,50,6.635539531707764
129,19,50,6.006958961486816
129,20,50,5.918580532073975
129,21,50,6.287662029266357
129,22,50,5.818284511566162
129,23,50,5.744983196258545
129,24,50,5.461550712585449
129,25,50,6.398308753967285
144,0,50,6.450430393218994
144,1,50,6.601014137268066
144,2,50,5.688309669494629
144,3,50,7.552763938903809
144,4,50,5.985654830932617
144,5,50,6.715521812438965
144,6,50,6.8799519538879395
144,7,50,6.079052925109863
144,8,50,5.4382500648498535
144,9,50,7.223257541656494
144,10,50,6.254384517669678
144,11,50,6.364128589630127
144,12,50,6.25342321395874
144,13,50,5.770477294921875
144,14,50,6.161324501037598
144,15,50,7.384218692779541
144,16,50,6.780345916748047
144,17,50,5.466805458068848
144,18,50,5.919922828674316
144,19,50,5.868673324584961
144,20,50,7.2453107833862305
144,21,50,7.052658557891846
144,22,50,6.242013454437256
144,23,50,6.1154608726501465
144,24,50,6.485372066497803
144,25,50,7.247600555419922
147,0,50,11.231634140014648
147,1,50,10.630613327026367
147,2,50,11.195923805236816
147,3,50,10.296441078186035
147,4,50,10.73895263671875
147,5,50,11.483057022094727
147,6,50,10.792908668518066
147,7,50,12.862499237060547
147,8,50,9.577762603759766
147,9,50,11.541913032531738
147,10,50,11.151371002197266
147,11,50,10.195878028869629
147,12,50,11.877992630004883
147,13,50,10.162123680114746
