class_id,total_images,num_batches,mean_vendi_score,std_vendi_score,se_vendi_score,ci95_low,ci95_high,min_vendi_score,max_vendi_score
446,1300,26,22.896951235257664,1.490155029378348,0.2922434451184087,22.29506459324686,23.498837877268468,20.549348831176758,26.35556983947754
453,1300,26,15.717962265014648,1.4596458026054295,0.2862600934776495,15.128398566382666,16.30752596364663,13.281402587890625,18.881473541259766
461,1300,26,13.232744950514574,1.8105168849932685,0.35507157408730383,12.501461354694973,13.964028546334175,10.472012519836426,16.78316307067871
477,1300,26,15.344426155090332,1.366434660519627,0.2679798845399658,14.792511251517896,15.896341058662768,12.605175018310547,17.533111572265625
479,1300,26,17.857996280376728,1.8666178336278152,0.3660738753110969,17.10405302101772,18.611939539735737,14.632484436035156,23.908700942993164
481,1186,23,7.38407329891039,1.3614097496040483,0.283873556230277,6.79535557595428,7.9727910218665,5.171884059906006,10.864907264709473
488,1300,26,14.988904512845552,1.716039236700899,0.3365429828472597,14.29578126501303,15.682027760678075,12.163756370544434,18.845169067382812
499,1067,21,15.683154196966262,1.9550616954403046,0.4266294384601856,14.793220782810753,16.57308761112177,11.814579963684082,18.767963409423828
529,1300,26,18.669585631443905,1.5329539960905239,0.3006370130579084,18.050412112666546,19.288759150221264,15.030415534973145,22.5067138671875
535,1300,26,10.368673984821026,0.7644326289724594,0.14991757276760015,10.059912963970955,10.677435005671096,8.997925758361816,11.799532890319824
554,1300,26,11.518405547508827,1.0881163121311168,0.21339716571596856,11.078905857668506,11.957905237349149,10.001091957092285,14.69779109954834
567,1222,24,23.151453256607056,2.2463506891348137,0.45853441431080416,22.20290255080397,24.100003962410142,17.840961456298828,27.15673828125
575,1300,26,7.138051106379582,1.0205889240203507,0.20015395534370894,6.7258263188631515,7.550275893896013,5.974824905395508,9.686169624328613
585,980,19,26.917688369750977,1.2804722505457404,0.29376048105984087,26.300520500540546,27.534856238961407,24.856510162353516,29.679052352905273
590,1034,20,19.871967124938966,1.8516921827659132,0.41405095940695463,19.00534850714937,20.73858574272856,16.117229461669922,23.270999908447266
605,1300,26,12.144466033348671,1.515309973232594,0.29717673548672147,11.532419089632398,12.756512977064943,9.07589054107666,15.434410095214844
606,1300,26,12.385837921729454,1.6203467046508628,0.3177761333000198,11.731365724053193,13.040310119405715,9.951897621154785,15.545026779174805
626,1300,26,23.148388935969425,1.8836516823570593,0.36941448789040476,22.38756555621352,23.90921231572533,19.664443969726562,26.98428726196289
632,1300,26,18.71972685593825,2.2729930521668584,0.44577061258690903,17.80164509363106,19.637808618245444,14.688716888427734,24.73168182373047
633,1300,26,20.421453329233024,2.934696580597992,0.5755413511901224,19.236103727753243,21.606802930712806,15.495025634765625,27.77944564819336
634,1300,26,17.475645578824558,1.4323523548058656,0.28090740798060326,16.897105942334505,18.05418521531461,14.520779609680176,20.409753799438477
645,1300,26,8.342101647303654,0.7872233898310518,0.1543872087040459,8.024135238925702,8.660068055681606,6.950790882110596,9.78217601776123
654,1300,26,18.721874163700985,1.4626717457807368,0.28685352975833855,18.131088260170323,19.312660067231647,15.571563720703125,22.118141174316406
679,1300,26,15.616461350367619,0.9895911580076729,0.19407479327538482,15.216756831499337,16.0161658692359,13.622845649719238,17.317167282104492
687,1300,26,8.23919285260714,0.8224821996874212,0.16130203022264916,7.906985102726216,8.571400602488064,6.673220157623291,10.143558502197266
730,1300,26,16.1646785736084,1.2824656116066806,0.2515121991959296,15.646679502876614,16.68267764434018,13.493413925170898,18.48578643798828
743,1300,26,22.709917802077072,2.2539439893195214,0.44203478400328494,21.79953012276433,23.620305481389813,18.22452735900879,27.677658081054688
746,1300,26,8.89361884043767,1.3909961690300305,0.27279679266218976,8.331783328882443,9.455454351992897,5.843446254730225,12.431473731994629
755,1300,26,4.5528676968354445,0.5105946096584442,0.10013584146860377,4.346634070818463,4.759101322852426,3.3856475353240967,5.334768295288086
